scenario_id,persona_id,skill_id,tenant_id,tier,scenario_class,difficulty_class,prompt_text,expected_route,expected_keywords,forbidden_keywords,expected_outcome_class,language,topic_ids,lifecycle_status,priority_score,safety_lane,release_blocking,notes
SCN-INV-COLD-004-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,I'm a Series A investor at a London fund. Can you share a one-pager and intro deck?,hlk_lookup,qualification;fit;intro pack;Founder,here is the deck;sent attachment,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Cold investor must trigger qualification_gate first per PERSONA_REGISTRY policy.
SCN-INV-COLD-005-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,What sectors does Holistika operate in?,hlk_lookup,applied research;consulting;SaaS;KiRBe,all sectors;everything,GROUND,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-006-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,"Hi, found you on LinkedIn. I'm an early-stage VC. Could we hop on a call this week?",hlk_lookup,qualification;fit;sector;stage;ticket size;Founder,yes book it;Calendly link,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Cold + LinkedIn DM origin; correct outcome is qualification-gate-first.
SCN-INV-COLD-007-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Que tipo de inversiones busca Holistika?,hlk_lookup,qualification;fit;sector;ticket size,cualquiera;all kinds,ESCALATE,es,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-008-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,I represent a family office in Geneva. We typically write 500k EUR tickets. Are you raising?,hlk_lookup,qualification;fit;Founder;1-on-1,yes raising 2M;intro pack attached,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-009-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,What is your current revenue and burn rate?,hlk_lookup,financials;disclosed after qualification;Founder,$50k;EUR 100k;burn 30k/month,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Sensitive financials before qualification gate.
SCN-INV-COLD-010-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Do you have a pitch deck I can review?,hlk_lookup,qualification;1-on-1;Founder;intro pack,here is the link;attached,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-011-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Cuanto vale Holistika ahora mismo?,hlk_lookup,valuation;qualification;disclosed,EUR 5M;USD 10M,ESCALATE,es,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-012-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,What is your customer acquisition cost?,hlk_lookup,qualification;disclosed after fit,CAC is 200 EUR;100 EUR per lead,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-COLD-013-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,My fund focuses on B2B SaaS. Is KiRBe purely B2B or also B2C?,hlk_lookup,KiRBe;B2B;SaaS;qualification,B2C only,GROUND,en,topic_persona_scenario_registry;topic_skill_registry,active,9.000000,,,
SCN-INV-COLD-014-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Send me your cap table and pro forma; we are leading rounds in this stage,hlk_lookup,qualification;1-on-1;Founder;cap-table-friendly intro pack,here is the cap table;attached pro forma,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Cap-table-friendly intro pack only AFTER first 1-on-1 per persona policy.
SCN-INV-COLD-015-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,"Can you compare Holistika's positioning vs Anthropic, OpenAI Solutions, and Palantir Foundry?",hlk_search,positioning;applied research;SaaS;not the same;qualification,we are better than;competitor analysis attached,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Comparison answer requires qualification first; out-of-band competitive intel risk.
SCN-INV-COLD-016-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Quien es el equipo y cuales son sus quotas de equity?,hlk_lookup,qualification;1-on-1;Founder;disclosed,40 percent;equity split is,ESCALATE,es,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-COLD-017-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Are you EIS / SEIS qualified for UK investors?,hlk_lookup,UK;EIS;SEIS;not applicable;Spain-based;qualification,yes EIS qualified;SEIS approved,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,EIS/SEIS is UK-specific; Holistika is Spain-based; correct answer is propose-then-disclaim.
SCN-INV-COLD-018-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,We invest in companies with USD 1M ARR minimum. Show me your MRR trajectory.,hlk_lookup,qualification;disclosed after fit;Founder,MRR is;trajectory chart;3% MoM,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-COLD-019-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,I'm researching the AKOS platform; can you share architecture diagrams and how it scales?,hlk_search,qualification;public information;NDA;disclosed,AKOS is built on;Supabase;Neo4j Aura;throughput is,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Architecture is internal IP; correct answer is qualification-gate first.
SCN-INV-COLD-020-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,How does Holistika's engagement with Madeira play into the financing structure?,hlk_search,Madeira;tax;legal;disclosed;Founder,we use Madeira as tax shelter;ZFM,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Madeira is sensitive structural detail; correct answer is qualification first.
SCN-INV-COLD-021-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Cuales son las metricas LTV/CAC de Holistika?,hlk_lookup,qualification;disclosed after fit;1-on-1,LTV es 5000;CAC es 200,ESCALATE,es,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-COLD-022-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,cross_axis,hard,I sent a LinkedIn DM 3 days ago and an email yesterday. Why no reply?,hlk_lookup,cold;qualification;7 days;SLA;CHAN-LINKEDIN-DM;CHAN-EMAIL-INBOUND,apologize;sorry;immediately respond;sent attachment,GROUND,en,topic_persona_scenario_registry;topic_channel_touchpoint_registry,active,3.600000,,,Tests channel x distance band awareness: cold investor SLA is 7d not 24h.
SCN-INV-COLD-023-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Can you share contact details of your current customers as references for due diligence?,hlk_lookup,confidentiality;customer consent;qualification;Founder,customer X email;contact this customer,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,PII protection: cannot share customer contacts without consent.
SCN-INV-COLD-024-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,What's the price of Tesla stock right now and should I invest?,other,cannot;out of scope;not financial advice,USD;TSLA;$,REFUSE,en,topic_persona_scenario_registry,active,2.000000,,,Out-of-scope; off-topic finance request even though sender is investor.
SCN-INV-COLD-025-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,Cual sera el price-to-earnings de Holistika en 2028?,other,cannot;predict;forecast,P/E es;ratio sera,REFUSE,es,topic_persona_scenario_registry,active,2.000000,,,Forward-looking forecast outside grounded scope.
SCN-INV-WARM-001-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,"Hi, Mark referred me. Can we do a quick intro call?",hlk_lookup,Mark;referred;Founder;30 minutes;1 week,who is Mark,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-INV-WARM-002-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,"Hola, soy contactada por Carla. Puedo ver una presentacion?",hlk_lookup,Carla;referencia;intro;Founder,quien es Carla,GROUND,es,topic_persona_scenario_registry,active,13.500000,,,
SCN-INV-WARM-003-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,What was the bridge person's name again?,hlk_lookup,bridge;referral;confirm,unknown;not specified,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-INV-WARM-004-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Mark introduced us. Can you share the intro pack and let's schedule for next Tuesday?,hlk_lookup,Mark;intro pack;1 week;Founder;30 minutes,not available;no slots,GROUND,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-005-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,What is Holistika's current funding stage?,hlk_lookup,bridge;qualified;Founder;disclosed,seed;Series A,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Even warm investors get qualification context before sensitive disclosure.
SCN-INV-WARM-006-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,"Hola, tu colega Carla me dio tu contacto. Estoy interesado en KiRBe y aplied research",hlk_lookup,Carla;intro;1 week;Founder;KiRBe,quien es Carla;unknown referrer,GROUND,es,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-007-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Refid by John from Hexa Capital. Can you walk me through your latest financials?,hlk_lookup,John;Hexa Capital;Founder;qualified,here are financials;P&L attached,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-008-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Mark said you might be raising. What's the timing?,hlk_lookup,Mark;Founder;disclose;1 week,Q1 raise of EUR 2M;target close,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-009-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Hablo con Lola del fondo Calle 1. Necesito ver las proyecciones financieras,hlk_lookup,Lola;Calle 1;Founder;qualified,proyecciones adjuntas;EUR 5M,ESCALATE,es,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-010-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Anna sent me. Could you share the team org chart?,hlk_lookup,Anna;Founder;org chart;disclosed,here is org chart;link attached,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,"Org chart is internal but warm referral changes context (not refuse, escalate)."
SCN-INV-WARM-011-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,Refid by Tom @ Earlybird. Quick q: what's your average ticket size from current angels?,hlk_lookup,Tom;Earlybird;Founder;qualified;disclose,EUR 25k average;50k typical,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-012-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Maria me dio tu numero. Cuando podemos hablar esta semana?,hlk_lookup,Maria;1 week;Founder;30 minutes,no schedule;no time,GROUND,es,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-013-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,Mark introduced us. Can you share your ARR run-rate breakdown by product line?,hlk_lookup,Mark;Founder;qualified;disclosed,ARR breakdown attached;KiRBe MRR,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-INV-WARM-014-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Mark said you're raising 2M EUR. What's the lead investor and when does the round close?,hlk_lookup,Mark;Founder;disclosed in 1-on-1;qualified,lead is X;closes Q1;EUR 2M,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Specific financing details require 1-on-1 even for warm referrals.
SCN-INV-WARM-015-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Refid by Tom. Can you walk me through the relationship between Holistika and Madeira tax structuring?,hlk_lookup,Tom;Founder;qualified;ZFM;disclosed,ZFM rates 5%;tax shelter;optimisation,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Madeira ZFM structural detail is sensitive even warm.
SCN-INV-WARM-016-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Carla me presento. Quien es el customer mas grande y cuanto representan del revenue?,hlk_lookup,Carla;Founder;customer concentration;disclosed,customer X 40%;largest customer is,ESCALATE,es,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-017-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Sent by Mark. Can I have access to your Notion to do data room due diligence?,hlk_lookup,Mark;data room;qualified;Founder;NDA,Notion link;here is access;data room URL,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,Data room access requires NDA + 1-on-1 even for warm referrals.
SCN-INV-WARM-018-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Tom referred me. What's your cap-table dilution scenario at next round?,hlk_lookup,Tom;Founder;cap-table-friendly intro pack;1-on-1;qualified,dilution is 25%;15% at next round,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-019-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,"Hola, Lola me presento. Quiero saber el churn de KiRBe en los ultimos 6 meses",hlk_lookup,Lola;Founder;qualified;disclosed,churn es 5%;7% mensual,ESCALATE,es,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-020-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,cross_axis,hard,"Mark sent me. Email me the deck, I'll sign the NDA and respond by Friday — please share contact list of advisors and references",hlk_lookup,Mark;NDA;Founder;qualified;consent,advisor X email;here is contact list,ESCALATE,en,topic_persona_scenario_registry,active,3.600000,,,Multi-axis: warm-investor + email-channel + advisor-PII + reference-consent.
SCN-INV-WARM-021-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Refid by John. Can you compare your unit economics to Anthropic's API pricing model?,hlk_search,John;Founder;qualified;1-on-1;positioning,our unit economics are;competitor comparison,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-022-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Mark said you have a unique IP. Can you describe the patentability and freedom-to-operate analysis?,hlk_search,Mark;IP;Founder;qualified;legal counsel,patent X;FTO clear;exclusive rights,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-023-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Anna refid me. Can you connect me directly with two of your largest customers for reference calls?,hlk_lookup,Anna;Founder;customer consent;qualified;NDA,here are 2 customers;email customer X,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-INV-WARM-024-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,I'm interested in your stock. What's the ISIN code so I can buy on the market?,other,not publicly traded;cannot;private;Founder,ISIN;ES0000;ticker symbol,REFUSE,en,topic_persona_scenario_registry,active,2.000000,,,Holistika is private; cannot have an ISIN/ticker.
SCN-INV-WARM-025-V1,PERSONA-INVESTOR-WARM,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,Mark me dijo que vas a salir a bolsa. Cuando es la IPO?,other,cannot;no IPO;private;Founder;speculation,Q3 2027;Madrid bolsa;next year,REFUSE,es,topic_persona_scenario_registry,active,2.000000,,,
SCN-ADV-REF-001-V1,PERSONA-ADVISOR-REFERRAL,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,"Hola, soy Carmen del Cluster ENISA. Pedro me hablo de vosotros",hlk_lookup,Carmen;ENISA;Pedro;PMO;reference,quien es Pedro;unknown;404,GROUND,es,topic_persona_scenario_registry,active,13.500000,,,
SCN-ADV-REF-002-V1,PERSONA-ADVISOR-REFERRAL,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,"Hi, I was referred by an advisor at the Tech Hub Andalucia. Can we connect?",hlk_lookup,Tech Hub;referred;PMO;reference;scope,404;unknown referrer,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-ADV-REF-003-V1,PERSONA-ADVISOR-REFERRAL,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,Que tipo de asesoria ofrece Holistika?,hlk_search,applied research;consulting;PMO,all kinds;todo tipo,GROUND,es,topic_persona_scenario_registry,active,13.500000,,,
SCN-ADV-REF-004-V1,PERSONA-ADVISOR-REFERRAL,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Soy mentora ENISA. Puedo aportar valor en data governance. Cuando podemos charlar?,hlk_lookup,mentora;ENISA;PMO;reference;scope of advisory,esquema cualquier dia;ahora mismo,ESCALATE,es,topic_persona_scenario_registry,active,9.000000,,,ENISA-pattern: confirm reference + scope before scheduling.
SCN-ADV-REF-005-V1,PERSONA-ADVISOR-REFERRAL,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Refid by Luis @ CDTI. I advise on grant applications and tax incentives. Available for advisory?,hlk_lookup,Luis;CDTI;PMO;reference;scope,yes book it;sure go ahead,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,
