org_uuid,role_name,role_description,role_full_description,access_level,reports_to,area,entity,org_id,sop_url,responsible_processes,components_used
c44c93d1-5a47-4cf6-a0a2-986b09b2192b,Corporate Marketing,"Corporate Voice in People Strategy","Ensures that every action from the CPO team uses all of Holistika's Marketing strategies for better success. Also represents Corporate's point of view in any Marketing strategy. Reports to Talent under CPO because their influence must be ensured by a team that also has Compliance and Talent in it. Works closely with CMO.",3,Talent,People,Think Big,org_034,https://drive.google.com/drive/folders/1ChzUf0vusfvFLjMuJxpPn7QxlR88eXkz,,
2d184b18-20d0-464e-8902-e59df9316d58,Public,"Base Authentication Role","Base Authentication, assigned to everyone by default. Has 0 level security clearance. Must be manually promoted to level 1+. This is the entry point for any new user in the system.",0,Admin,People,Holistika,,,
6339a516-1534-4f2c-b0ac-6a9a63f89f90,D-Class,"Blocked User Role","Reserved to block users. Has Security Level Clearance 0 by default. Cannot be promoted manually to 1+. One must update the role of the user to any other than this before upgrading the security level clearance. D-Class will always have a Security Level Clearance of 0.",0,CPO,People,Holistika,,,
25ab8435-4278-40c0-a3dd-8ca510f1d11b,Holistik Researcher,"Research Area Head","Head of the Holistika Research area. Reports directly to O5-1 as a peer to other area heads (CFO, CPO, COO, CMO, CDO, CTO). Governs the application of Research & Logic, HUMINT techniques, OSINT operations, Intelligence Matrix placement, deep-research methodology, and the four Holistika methodology pillars (Process Engineering, Business Engineering, Factor Combination, Foresight). Oversees Lead Researcher, Intelligence Analyst, and OSINT Analyst.",4,O5-1,Research,Holistika,,,
ccc5ba99-57f7-45a4-8c54-c521d0519a33,Lead Researcher,"Research Team Lead","Leads research teams and directs the execution of research methodologies and techniques. Supervises Senior Researcher, Private Researcher, and HUMINT Specialist. Responsible for quality and methodology compliance of research outputs.",3,Holistik Researcher,Research,Holistika,,,
171237b3-c0c2-4833-8e3d-f789c58e92fd,Senior Researcher,"Experienced Research Contributor","Experienced researcher contributing to structured research processes. Operates under Lead Researcher supervision with Private-level access to sensitive research materials.",2,Lead Researcher,Research,Holistika,,,
43f9d7d8-a42d-44da-bc7a-8ade4d5a3315,Private Researcher,"Entry-Level Research Contributor","Entry-level research role with Community-level access. Contributes to research under direct supervision of the Lead Researcher.",1,Lead Researcher,Research,Holistika,,,
b2c3d4e5-2222-4bbb-c222-222222222201,Intelligence Analyst,"Intelligence Matrix Operations","Operates the Intelligence Matrix: classifies intel, manages fact tables, runs generational filters, scenario analysis, source credibility assessments, and temporal impact analyses. The operational role behind all intelligence matrix processes. Reports to Holistik Researcher.",4,Holistik Researcher,Research,Holistika,org_054,,,
b2c3d4e5-2222-4bbb-c222-222222222202,OSINT Analyst,"Open Source Intelligence","Handles open-source intelligence gathering: web research, public data analysis, social media intelligence, publication monitoring, and structured web scraping. Aligned with the OSINT source category in the compliance taxonomy. Reports to Holistik Researcher.",3,Holistik Researcher,Research,Holistika,org_055,,,
b2c3d4e5-2222-4bbb-c222-222222222203,HUMINT Specialist,"Human Intelligence Collection","Conducts enriched interviews, focus groups, stakeholder interview protocols, and field observations. Responsible for human-source intelligence collection aligned with the HUMINT workstream and source taxonomy. Reports to Lead Researcher.",3,Lead Researcher,Research,Holistika,org_056,,,
66468842-cfba-44a0-9f60-9bf0282ed389,COO,"Chief Operations Officer","Oversees all operational functions including PMO (project/program management) and SMO (service management). Responsible for execution discipline, delivery management, and operational process governance across all entities.",5,O5-1,Operations,Think Big,org_013,https://drive.google.com/drive/folders/1fh27h2VCzatIHfIXSCsylsWGCfXgcOjL,,
1a624078-1819-4790-8fbb-4973159ae6d8,PMO,"Project Management Office","The Board in which all decisions are being approved, discussed or even delegated if required. Organizes and monitors all training, processes and Best Practices to any personnel in Holistika no matter their role. Responsible for both external and internal projects.",4,COO,Operations,Think Big,org_003,https://drive.google.com/drive/folders/1TCP2a1RP2H0E7crBiZig3xVe_sT2VvLE,,
833b0d06-d6ab-4a7d-ae97-bbe7d147f5da,SMO,"Service Management Office","Service Management function. Current base reference is ITIL vs Service Delivery Management. Oversees Account Management, Asset Management, and Service Delivery.",4,COO,Operations,Think Big,org_035,https://drive.google.com/drive/folders/1LQwb4pqMgZk3mlsXZYOwYESfjJp1lB4p,,
54ea0044-b5ed-409d-88dc-a92bd6ef4fe5,Project Manager,"Agile Project Execution","Executes project delivery using Agile and PMBOK methodologies. Reports to PMO.",3,PMO,Operations,Think Big,org_015,https://drive.google.com/drive/folders/1Fr_C89NdImcW11teovLr-xhyOKQ6nsez,,
06ef64eb-d247-4ad7-9d28-201ca30d0463,Product Owner,"Product Vision and Value Delivery","Drives agile projects by ensuring product vision and value delivery align with strategic goals. Uses Agile and Lean Startup methodologies. Reports to PMO.",3,PMO,Operations,Think Big,org_016,https://drive.google.com/drive/folders/14tBs8Vzf26L8OYwVBtiW8CGWCSO9nApA,,
36a84641-2982-4acf-80c5-da010068b812,Service Delivery Manager,"ITIL-Based Service Delivery","Manages service delivery using Agile, PMBOK, and Service Management frameworks like ITIL (SLAs, uptime/downtime, people management, incidence management). Reports to SMO.",3,SMO,Operations,Think Big,org_024,https://drive.google.com/drive/folders/1mz_ruli_INzdabiK9unOqBVfpfEvpb0R,,
a2e9fe8a-d0f1-4ca1-b7ce-7e8f8fd70c20,Account Manager,"Customer Success and Account Governance","Applies all current PMO methodologies plus Customer Success frameworks like NPS. Manages client relationships and service-level accountability. Reports to SMO.",3,SMO,Operations,Think Big,org_019,https://drive.google.com/drive/folders/1TOOLu2c6uXHYgDM-iA4qHAbuJGgEWc1O,,
92746bd7-e0c3-410c-8425-0a8ddd07a78a,Asset Manager,"Asset and Resource Governance","Manages organizational assets using Lean Startup and H Business Engineering Framework principles. Reports to SMO.",3,SMO,Operations,Think Big,org_018,https://drive.google.com/drive/folders/1lRqFbWryvqVLJ6AiGVS9VL8U-T-uCONv,,
2398a3fe-788d-4e2e-b758-8496f59e349f,CFO,"Chief Financial Officer","Manages financial strategy, budgeting, and fiscal compliance in accordance with corporate governance. Oversees Business Controller and Financial Controller chains. Responsible for the Finance area across all entities.",5,O5-1,Finance,Think Big,org_006,https://drive.google.com/drive/folders/1I91SWHlcd9YSBDAvo5Kf6dqrbA1cpz05,,
491b7db9-08f4-4e57-ae24-5ed5946598e7,Business Controller,"Strategic Financial Analysis","Uses financial statements to interpret the company's situation and complement/update the current Financial Strategy with whatever needs to be achieved. This constitutes the company's official Objectives once the CFO and CEO have approved them. Oversees Pricing and Taxes.",4,CFO,Finance,Think Big,org_001,https://drive.google.com/drive/folders/1nwIgxAeFCfQluWUfLNK8zW61I4NhFVPt,,
fd2b175a-87c2-4065-8534-a30b3da38991,Financial Controller,"Financial Statement Accountability","Holds full accountability for every financial statement. Represents the final validation before CFO's review. Oversees Front Office (O2C and PTP).",4,CFO,Finance,Think Big,org_026,https://drive.google.com/drive/folders/1I91SWHlcd9YSBDAvo5Kf6dqrbA1cpz05,,
db7871b4-4215-4b1d-ab96-5213d81af72c,Pricing,"Pricing Database and Logic","Manages Pricing Database, approves every user and usage of its information. Updates Pricing logic by interacting with every asset and team involved in a pricing process.",3,Business Controller,Finance,Think Big,org_008,https://drive.google.com/drive/folders/1LP6xuVWxCHGL-nd5ZCUaoP9H75TS2kSQ,,
9b1418d8-3539-47ec-8133-67eae5023b4f,Taxes,"Tax Database and Ratio Management","Manages Tax database which is used as a date/ratio multiplier on any financial database. Operations can function without taking taxes into account, leaving it for the Taxes team to apply the ratio on financial data and update the final version for everyone to see and use.",3,Business Controller,Finance,Think Big,org_030,https://drive.google.com/drive/folders/1I91SWHlcd9YSBDAvo5Kf6dqrbA1cpz05,,
4c461bd6-800e-4a00-b1b4-eb8f60c63a23,Front Office,"External Financial Statements","Holds all financial statements related to external expenditure or revenue. The interface between the Financial Controller and transactional finance roles (O2C, PTP).",3,Financial Controller,Finance,Think Big,org_021,https://drive.google.com/drive/folders/1I91SWHlcd9YSBDAvo5Kf6dqrbA1cpz05,,
f8087654-a4a8-49f1-89d7-e21de8b95d84,O2C,"Order-to-Cash Revenue","Responsible for all external revenue. Note that revenue can be both positive OR negative.",3,Front Office,Finance,Think Big,org_020,https://drive.google.com/drive/folders/1-DeGxXQrTbvgQXCDkc6vaHrvvDD47EAt,,
57e8a2bd-012a-4d61-bc95-368bfd3ee38d,PTP,"Procure-to-Pay Expenditure","Responsible for all external cost/expenditure. Note that cost can be both positive OR negative.",3,Front Office,Finance,Think Big,org_022,https://drive.google.com/drive/folders/1vBYR8CTRHUZN5NOsnvxf5B8Dzn_KZ350,,
7d63d23b-ec19-4eb8-87b9-7025ff6eeb39,CMO,"Chief Marketing Officer","Oversees all marketing functions including Brand Management, Social Media, Growth, and channel strategy. Responsible for the Marketing area across all entities. Oversees Brand Manager, Social Media Manager, and Growth Manager.",5,O5-1,Marketing,Think Big,org_023,https://drive.google.com/drive/folders/1dxLhr-kTD79W1U3yx_E1Cxu_-Ss-x4Zk,,
3e7c4777-e9a0-4e34-820d-f2755739cad1,Brand Manager,"Brand Identity and Creative Direction","Responsible for transmitting the identity of the company in any format, whether written, audiovisual or otherwise. Expected to be as creative as possible, relying on Marketing Operations for process interpretation in the Marketing Area. Oversees AV, Copywriter, Design, and UX Designer.",4,CMO,Marketing,Think Big,org_031,https://drive.google.com/drive/folders/1gEIWgyxxPP_4UyUZEBEteMTF9CQUF3rX,,
42d1c220-5552-4939-970a-d227152fc348,Social Media Manager,"Social Channel Strategy","Reports to CMO with optional Brand Manager intermediary. Manages social media channels, campaign execution, and community management. Oversees Community Manager and Paid Media Manager.",4,CMO,Marketing,Think Big,org_005,https://drive.google.com/drive/folders/1jeIICDJmCd4rRtlYfVZ_B2s8CwN11cQi,,
746b2577-10df-47ea-b8a7-e1d24787e738,AV,"Audiovisual Production","Audiovisual content production and management. Reports to Brand Manager.",3,Brand Manager,Marketing,Think Big,org_009,https://drive.google.com/drive/folders/1cikiGJGN2gUHxsIzBkoeDhCHwrgYZfYz,,
52775485-410c-49be-90c8-db1df60aa228,Copywriter,"Brand Voice and Content","Representative for written content output. Manages brand voice, messaging, and storytelling across all written formats. Reports to Brand Manager.",3,Brand Manager,Marketing,Think Big,org_040,https://drive.google.com/drive/folders/1x8DueYzkJMX_ExfF9W43yhggCRnhbHhx,,
fbed6f52-952f-41e3-b5ab-c619b6901a19,Design,"Visual Design and Creative Assets","Visual design function. If more designers are contracted, create new row with level 2 designers. Reports to Brand Manager.",3,Brand Manager,Marketing,Think Big,org_025,https://drive.google.com/drive/folders/1rNy5W_G4KxREzvHqbVqxURJqR1lTZFR8,,
a211b0bd-d530-4933-b7f6-a5026e4f5f74,Community Manager,"Customer Success and Community","Responsible for customer success. If more community managers are contracted, change the name of this role to Customer Success Manager and leave the Community Managers with level 3 access. Reports to Social Media Manager.",3,Social Media Manager,Marketing,Think Big,org_032,https://drive.google.com/drive/folders/1j2m9ER8i8qOg8C7uEftc1LlsWD6dMyME,,
0b5b1234-8c6b-4d22-a714-f8f3c33d35db,Paid Media Manager,"Paid Channel Management","Manages paid media campaigns and budget allocation across digital channels. If more of this role are to be contracted, create Paid Media Specialist role under this one. Reports to Social Media Manager.",3,Social Media Manager,Marketing,Think Big,org_004,https://drive.google.com/drive/folders/1cIEkzstDKj2XfRzXx8s72M6DGnH20qQs,,
ddd19180-e566-43a3-bdce-cdfd8df08867,CDO,"Chief Data Officer","Oversees all data functions including Data Architecture, Data Science, Data Engineering, and Data Governance. Responsible for ensuring data governance, data quality, and the strategic use of data assets across all entities. Oversees Data Architect, Lead Data Scientist, and Data Governance Lead.",5,O5-1,Data,Think Big,org_027,https://drive.google.com/drive/folders/1lEloMhR4flP3P4FJIFlbWgu2Zpf8f1Yv,,
799a0def-4d51-4a9f-89d9-257fea4e8fc9,Data Architect,"Data Structure and Architecture Authority","Responsible for ensuring that the components and structure of available data are appropriate for current and future architecture, as well as providing detailed instructions on its usage and improvement. Reports to CDO.",4,CDO,Data,Think Big,org_036,https://drive.google.com/drive/folders/1pvtZL9OLK5KP3CSql7LDeI7mhLsI7IAW,,
5598e715-b838-4d02-8317-a3a918f42267,Lead Data Scientist,"Data Science Leadership","Leads data science initiatives. If more Data Scientists are contracted, create new Data Scientist role under this one. Oversees Business Analyst and Data Engineer. Reports to CDO.",4,CDO,Data,Think Big,org_011,https://drive.google.com/drive/folders/1ZrVSkhRH7acyruNwQlSLRtxaX1VPFmjT,,
38d54ace-3fa1-4181-a912-98b55abbb2ce,Business Analyst,"Front-End of Data Governance","Front-end of Data Governance. Translates business requirements into data specifications and ensures stakeholder alignment with data capabilities. Reports to Lead Data Scientist.",3,Lead Data Scientist,Data,Think Big,org_029,https://drive.google.com/drive/folders/1OsDDbo4fAOJjqG7YA71tS--fXxT5r_V0,,
4bb4c1ab-201d-4514-b47b-c4a3f687b13c,Data Engineer,"Back-End of Data Governance","Back-end of Data Governance. Responsible for data pipeline implementation, database management, and technical data infrastructure. Reports to Lead Data Scientist.",3,Lead Data Scientist,Data,Think Big,org_028,https://drive.google.com/drive/folders/162Z4F4lBzYCgtegfkbRedUB3Nzi6_INF,,
9c234427-dc7e-4ff8-ba0d-1a9360672456,CTO,"Chief Technology Officer","Ensures viability of all technological aspects, capabilities, assets and resources of the company. The technological representative to the company's T for PESTEL, as per Business Engineering policy. Oversees Tech Lead, DevOPS, System Owner, and AI Engineer.",5,O5-1,Tech,Think Big,org_037,https://drive.google.com/drive/folders/1GMbGZuqW7bPnGmGuJB04dCSHpmlEWtSr,,
027d4be8-81d5-45d2-8f2c-641c6363cf0a,DevOPS,"Infrastructure and Delivery Operations","DevOPS function following ITIL and DevOPS best practices and frameworks. Manages CI/CD, infrastructure, deployment pipelines, and operational tooling. Oversees Front-End Developer and Back-End Developer. Reports to CTO.",4,CTO,Tech,Think Big,org_039,https://drive.google.com/drive/folders/1cm-YHysD9LJ-aNCSPDSmqrmYLz2LMGi9,,
252398d1-cb94-49c9-ad13-533bc9671ed2,System Owner,"Infrastructure and Data Governance","Follows Data Governance and Infrastructure Management Frameworks. Responsible for system-level ownership of platforms, domains, and infrastructure components. Oversees Domain Specialist. Reports to CTO.",4,CTO,Tech,Think Big,org_038,https://drive.google.com/drive/folders/1OfKgdcPP5MZhGYS6Lb9v1b2Fyr5GSRaE,,
f47a1c3e-8d2b-4e9f-a1c6-7b3d5e8f9a12,AI Engineer,"AI Systems Design and Agent Orchestration","Designs, builds, and maintains AI agent architectures, multi-agent orchestration frameworks, knowledge graph integrations, and LLM-powered systems. Owns the MADEIRA agent tool orchestration, personality configuration, and Neo4j knowledge graph for agent context. Responsible for agent communication protocols, task decomposition, workflow automation, and RAG/GraphRAG pipeline design. Works at the intersection of Data Architecture and Tech, bridging the intelligence layer with the execution layer. Reports to CTO.",4,CTO,Tech,HLK Tech Lab,org_041,,,"env_tech_dtp_264,env_tech_dtp_265,env_tech_dtp_269",
a1b2c3d4-1111-4aaa-b111-111111111101,Tech Lead,"Technical Leadership and Architecture Oversight","Senior technical authority under CTO. Supervises Front-End and Back-End Developers on implementation quality. Responsible for language conventions, repository management, CI/CD strategy, and technical architecture decisions. Bridges CTO-level strategy with hands-on engineering execution.",4,CTO,Tech,HLK Tech Lab,org_042,,,
a1b2c3d4-1111-4aaa-b111-111111111102,Front-End Developer,"Client-Side Implementation","Implements user-facing interfaces, components, layouts, and storefront experiences. Responsible for UI development, SEO integration, performance budgets, and accessibility. Works on Next.js, Theme App Extensions, and form-based UX across products. Reports to DevOPS.",3,DevOPS,Tech,HLK Tech Lab,org_043,,,
a1b2c3d4-1111-4aaa-b111-111111111103,Back-End Developer,"Server-Side Implementation","Implements server-side logic, API endpoints, database operations, integrations, and data pipelines. Responsible for CRUD operations, Supabase client onboarding, edge functions, and third-party API integrations. Reports to DevOPS.",3,DevOPS,Tech,HLK Tech Lab,org_044,,,
a1b2c3d4-1111-4aaa-b111-111111111104,Domain Specialist,"Domain and DNS Management","Manages domain names, DNS configuration, nameservers, sub-domain design, and webmaster operations. Responsible for the web infrastructure layer between hosting and application. Reports to System Owner.",3,System Owner,Tech,HLK Tech Lab,org_045,,,
a1b2c3d4-1111-4aaa-b111-111111111105,Data Governance Lead,"Data Governance Strategy and Oversight","Leads data governance initiatives across all entities. Owns database management, enterprise masterdata, KPI and reporting catalogs, and data quality standards. Supervises Data Steward and Database Owner. Reports to CDO.",4,CDO,Data,HLK Tech Lab,org_046,,,
a1b2c3d4-1111-4aaa-b111-111111111106,Data Steward,"Operational Data Quality","Responsible for day-to-day data quality, masterdata relationship management, datamarts, and enterprise application data alignment. Executes data governance policies defined by Data Governance Lead. Reports to Data Governance Lead.",3,Data Governance Lead,Data,HLK Tech Lab,org_047,,,
a1b2c3d4-1111-4aaa-b111-111111111107,Database Owner,"Schema and Database Operations","Owns database schemas, manages database operations, and ensures data management integrity. Responsible for Supabase/PostgreSQL schema governance and production database lifecycle. Reports to Data Governance Lead.",3,Data Governance Lead,Tech,HLK Tech Lab,org_048,,,
a1b2c3d4-1111-4aaa-b111-111111111108,UX Designer,"User Experience Design","Designs user experiences across all products and channels. Responsible for layout, component UX, analytics UX, landing pages, buyer funnels, and newsletter design. Translates user needs into actionable design specifications. Reports to Brand Manager.",3,Brand Manager,Marketing,Think Big,org_049,,,
a1b2c3d4-1111-4aaa-b111-111111111109,Growth Manager,"Growth Strategy and Acquisition","Drives growth strategy, paid media oversight, and acquisition channel optimization. Supervises Social Media Manager for growth-related processes. Responsible for campaign replication, audience targeting, and performance marketing. Reports to CMO.",4,CMO,Marketing,Think Big,org_050,,,
a1b2c3d4-1111-4aaa-b111-11111111110a,Legal Counsel,"Legal Strategy and Compliance","Heads the Legal area. Responsible for legal strategy, compliance documentation oversight, and contract governance. Oversees Legal Consumer Specialist and Legal Collaborator Specialist. Reports to CPO given the tight coupling between Legal and Compliance functions.",4,CPO,Legal,Think Big,org_051,,,
a1b2c3d4-1111-4aaa-b111-11111111110b,Legal Consumer Specialist,"Consumer-Facing Legal Documentation","Manages consumer-facing legal documentation including Terms and Conditions, Privacy policies, and Retention policies. Reports to Legal Counsel.",3,Legal Counsel,Legal,Think Big,org_052,,,
a1b2c3d4-1111-4aaa-b111-11111111110c,Legal Collaborator Specialist,"Collaborator and Contractor Legal","Manages collaborator and contractor-facing legal documentation including NDAs, service agreements, and contractor compliance. Reports to Legal Counsel.",3,Legal Counsel,Legal,Think Big,org_053,,,
