artifact_class_code,name,output_type_codes,typical_audience_codes,typical_channel_codes,render_script_path,exemplar_path,doctrine_owner_role,quality_fabric_invocation,status,added_at,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes
AC-DECISION-LOG-ROW,Decision log row in DECISION_REGISTER.csv,OT-TABLE-CSV-RAW,J-OP;J-AIC,CHAN-WEB-FORM-CONTACT,n/a (append-only via mint-time tooling),docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,Founder;System Owner,fabric.compose() emphasising governance:append-only + lineage-traceable,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-planning-traceability.mdc + akos-inline-ratification.mdc D-IH-NN-X precedent. Composed of components: decision_id / decision_date / question / chosen_option / rejected_options / rationale / source / linked-canonicals / decision_source.
AC-INITIATIVE-CHARTER,Initiative master-roadmap (charter + phases + decisions + risks),OT-PROSE-MARKDOWN;OT-DIAGRAM-MERMAID,J-OP;J-AIC,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path);Cursor-plans path mirrored,docs/wip/planning/<NN-slug>/master-roadmap.md;~/.cursor/plans/<slug>_<hash>.plan.md,System Owner;Founder,fabric.compose() emphasising governance:plan-quality-bar per akos-planning-traceability.mdc,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Long-running initiative blueprint. Composed of components: charter-frontmatter / phase-dependency-mermaid / per-phase-deep-section / decision-preview-table / risk-preview-table / cross-references.
AC-CANDIDATE-FILE,Candidate initiative file (pre-promotion),OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/wip/planning/_candidates/<slug>.md,System Owner;Founder,fabric.compose() emphasising governance:promotion-gates,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-conflict-surfacing-and-blocker-trackers.mdc Option-5 default posture. Composed of components: operating-story / activation-gates / phase-overview / open-conundrums / cross-references.
AC-PAUSE-RECORD,Phase pause record (operator hand-off),OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/wip/planning/<NN-slug>/reports/p<N>-pause-record-<date>.md,System Owner,fabric.compose() emphasising governance:hand-off-quality per akos-agent-checkpoint-discipline.mdc,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-agent-checkpoint-discipline.mdc operator-pause-point contract. Composed of components: mechanical-evidence / documentary-evidence / pre-next-phase-self-checkpoint / operator-approval-checklist.
AC-WAVE-CLOSURE,Wave closure report (multi-task push completion),OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/wip/planning/<NN>/reports/<date>-wave-<X>-closure.md,System Owner,fabric.compose() emphasising governance:research-enrichment-subsection per akos-applied-research-discipline.mdc RULE 3,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-applied-research-discipline.mdc RULE 3. Composed of components: scope-summary / decisions-ratified / files-modified / canonicals-edited / research-enrichment-subsection / forward-charter-pointers.
AC-OPERATOR-INBOX,Operator inbox dashboard (HLK-ERP daily-driver view),OT-WEB-PAGE;OT-TABLE-RENDERED;OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT (auth-gated),scripts/render_operator_inbox.py,docs/wip/planning/_dashboards/operator-inbox.md;hlk-erp App Router /operator-inbox route,System Owner,fabric.compose() emphasising audience:J-OP + brand:dashboard-treatment,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Decision-surfacing dashboard. Composed of components: pending-ratify-list / blocker-tracker-list / pause-record-list / decision-pinned-list / search-bar.
AC-PMO-HUB-RENDER,PMO hub auto-rendered view,OT-WEB-PAGE;OT-DIAGRAM-MERMAID;OT-CHART-DATA,J-OP,CHAN-WEB-FORM-CONTACT,scripts/render_pmo_hub.py;scripts/render_topic_graph.py;scripts/render_operational_cohesion_index.py,docs/wip/planning/_hub/index.html,System Owner,fabric.compose() emphasising audience:J-OP + governance:auto-render-from-CSV,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per Initiative 25 P8 batch render. Composed of components: program-overview / topic-graph / phase-gantt / decision-log-feed / risk-heatmap. render_pmo_hub batches the index; render_topic_graph renders per-topic subviews; render_operational_cohesion_index renders the operational cohesion governance index per OPERATIONAL_COHESION_DOCTRINE.md (Initiative 86 Wave J derivative).
AC-WIP-DASHBOARD,WIP dashboard (active engagement state-of-the-world),OT-WEB-PAGE;OT-TABLE-RENDERED,J-OP,CHAN-WEB-FORM-CONTACT,scripts/render_wip_dashboard.py,docs/wip/dashboard.html,System Owner,fabric.compose() emphasising audience:J-OP + scenario:daily-driver,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Engagement and adviser inflight roll-up. Composed of components: engagement-list / adviser-handoff-list / next-actions-list / blockers-list.
AC-COUNTERPARTY-BRIEF,Counterparty brief (internal-register CORPINT companion),OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/references/hlk/v3.0/_assets/advops/<engagement>/<deliverable>.counterparty-brief.md,Brand & Narrative Manager,fabric.compose() emphasising audience:J-OP + brand:CORPINT-internal-register per akos-brand-baseline-reality.mdc,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-brand-baseline-reality.mdc dual-register contract. Composed of components: counterparty-overview / approach-techniques / elicitation-design / reliability-grading / baseline-reality-assessment.
AC-OBJECTIONS-BRIEF,Objections brief (internal-register CORPINT companion),OT-PROSE-MARKDOWN,J-OP,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/references/hlk/v3.0/_assets/advops/<engagement>/<deliverable>.objections.md,Brand & Narrative Manager,fabric.compose() emphasising audience:J-OP + brand:CORPINT-internal-register,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-brand-baseline-reality.mdc dual-register contract. Composed of components: anticipated-objections-table / counter-evidence-per-objection / fallback-positions / escalation-paths.
AC-PRESS-KIT,Press kit (broadcast-distribution evidence pack),OT-PROSE-MARKDOWN;OT-IMAGE-RASTER;OT-IMAGE-VECTOR-SVG;OT-PDF-DOCUMENT,J-PT;J-CO,CHAN-EMAIL-OUTBOUND;CHAN-WEB-FORM-CONTACT (broadcast page),n/a (assembled per release);scripts/render_dossier.py for sealed PDF parts,docs/references/hlk/v3.0/_assets/marops/press-kit/<release>/,Brand & Narrative Manager,fabric.compose() emphasising audience:J-PT/J-CO + brand:full-visual-depth + channel:CHAN-AD-CAMPAIGN if applicable,planned,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Future artifact class for press releases / collaborator broadcasts. Composed of components: release-narrative / boilerplate-block / quote-block / image-bank / contact-info / sealed-pdf.
