capability_id,capability_name,area,role_owner,originating_process_ids,substrate_id,skill_ids,lifecycle_status,i81_verdict,i81_gap_summary,external_register_summary,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes,capability_tier,l1_domain,definition,alpha_inventory_refs
CAP-DATA-PLATFORM-PRODUCTS,Enterprise Data Platform & Data-Product Stewardship,Data,Data Governance Office,hol_data_dtp_datafam_compliance_mirror_001;hol_data_dtp_datafam_canonical_csv_001;hol_data_dtp_datafam_engagement_fact_001;hol_data_dtp_datafam_telemetry_obs_001;hol_data_dtp_datafam_gtm_crm_001;hol_data_dtp_datafam_km_topic_001;hol_data_dtp_datafam_aic_runtime_001,SUBS-HOLISTIKA-KIRBE,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,"Collapsed from 7 data-product shadows (D-IH-95-I); co-owners RevOps Manager + System Owner; gtm_crm->RevOps, aic_runtime->Tech cross-area flags.",differentiating,Data Governance & Enterprise Knowledge,"Stewardship of the DATA-FAM data-product planes (mirror, canonical-CSV, engagement-fact, telemetry, GTM-CRM, KM-topic, AIC-runtime) as TRP-053 specializations.",CAP-M15
CAP-MKT-BRAND-NARRATIVE,Brand & Narrative Management,MKT,Brand & Narrative Manager,thi_mkt_dtp_65;thi_mkt_dtp_66;thi_mkt_dtp_293,SUBS-VERCEL-VERCEL-AI-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Go-to-Market & Brand,"Own a coherent brand voice, message, manifesto, visual identity, founder narrative and positioning story.",
CAP-MKT-BRAND-GOVERNANCE,Brand Governance & Drift Control,MKT,Brand & Narrative Manager,tbi_mkt_prc_brand_canon_mtnce_001;tbi_mkt_prc_voice_drift_triage_001;tbi_mkt_prc_drift_gate_ops_001,SUBS-VERCEL-VERCEL-AI-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Go-to-Market & Brand,"Keep the brand canon true over time via canon maintenance, voice-drift triage, register/jargon/audience audits and brand-asset stewardship.",
CAP-MKT-EDITORIAL,Editorial & Content Production,MKT,Brand & Narrative Manager,thi_mkt_dtp_67;thi_mkt_dtp_212;thi_mkt_dtp_306,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Plan, produce and route content across channels — editorial calendar, templates, copy pipeline, thought-leadership.",
CAP-MKT-CREATIVE-WEB,"Creative, Web & Experience Design",MKT,Brand & Narrative Manager,thi_mkt_dtp_2;thi_mkt_dtp_9;env_mkt_dtp_7,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Produce brand-grade creative and web/landing experiences (design, UX, multimedia, landing pages).",
CAP-MKT-DEMAND-GEN,Digital Demand Generation,MKT,Reach Manager,thi_mkt_dtp_20;thi_mkt_dtp_42;env_mkt_dtp_47,SUBS-VERCEL-VERCEL-AI-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Generate qualified demand — SEO, paid media, campaigns, funnel, audiences, events, partner-channel acquisition.",
CAP-MKT-ANALYTICS,Marketing Analytics & Attribution,MKT,CMO,thi_mkt_dtp_19;thi_mkt_dtp_309,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Measure and attribute marketing performance — analytics, dashboards, attribution models.",
CAP-MKT-EXPERIMENTATION,Marketing Experimentation & Growth,MKT,Experimentation Manager,thi_mkt_dtp_61;thi_mkt_dtp_307;thi_mkt_dtp_308,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Go-to-Market & Brand,"Run a disciplined experiment loop — variant hypotheses, A/B testing, experiment registry, growth hacking.",
CAP-MKT-PR-MEDIA,PR & Media Relations,MKT,PR Manager,thi_mkt_dtp_305,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Earn media — press releases, media pitches, journalist relations.",
CAP-MKT-RESONANCE,Community & Audience Resonance,MKT,Resonance Manager,thi_mkt_dtp_213;thi_mkt_dtp_287;thi_mkt_dtp_302,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Go-to-Market & Brand,"Build and sustain community — ambassador program, resonance pulse, social-channel support.",
CAP-MKT-ACCOUNT-LIFECYCLE,Account & Lifecycle Marketing,MKT,CMO,thi_mkt_dtp_303,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Nurture known contacts across the lifecycle — account engagement cadence, email/scheduling-driven nurture.",
CAP-MKT-PRODUCT-LAUNCH,Product & Launch Marketing,MKT,Brand & Narrative Manager,thi_mkt_dtp_211;thi_mkt_dtp_231;thi_mkt_dtp_254,SUBS-VERCEL-VERCEL-AI-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Bring products to market — ASO/app-store, battlecards/messaging matrix, launch content, sales-enablement (absorbs AI product GTM/launch).",
CAP-RES-DEEP-METHODOLOGY,Deep Research Methodology & Source-Ledger Discipline,Research,Holistik Researcher,hol_resea_dtp_302;hol_resea_dtp_research_action_001;hol_resea_dtp_161,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,The methodology spine — the source-ledgered research-action discipline that governs how every other research capability runs.,CAP-M05;CAP-M09
CAP-RES-ELICITATION-HUMINT,Counterparty Elicitation & Human-Source Discovery,Research,Lead Researcher,hol_res_prc_counterparty_baseline_assess_001;hol_res_prc_elicitation_discipline_001;hol_resea_dtp_94,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"Human-source collection — counterparty baseline assessment, elicitation discipline, enriched interviews and field observation (HUMINT).",
CAP-RES-OSINT,Open-Source Intelligence Collection (OSINT),Research,OSINT Analyst,hol_resea_dtp_322;hol_resea_dtp_323;hol_resea_dtp_324,SUBS-HOLISTIKA-KIRBE,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"Open-source collection — web intelligence, social-media intelligence and publication monitoring.",
CAP-RES-SECONDARY-SYNTHESIS,Secondary Research & Evidence Synthesis,Research,Holistik Researcher,hol_resea_dtp_317;hol_resea_dtp_319;hol_resea_dtp_320,SUBS-HOLISTIKA-KIRBE,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Corporate Intelligence & Research,"Desk research and synthesis — literature review, multi-source synthesis, contradiction resolution.",
CAP-RES-SOURCE-GRADING,Source Reliability Grading & Credibility Assessment,Research,Intelligence Analyst,hol_res_prc_reliability_grading_001;hol_resea_dtp_312,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,Score source reliability and assess credibility (the sellable source-confidence edge).,
CAP-RES-CLASSIFICATION,Intelligence Classification & Fact Structuring,Research,Intelligence Analyst,hol_resea_dtp_142;hol_resea_dtp_143;hol_resea_dtp_313,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"Place intel in the matrix, classify it and structure facts.",
CAP-RES-PESTEL-ANALYSIS,PESTEL Analysis (per-prong macro viewpoints),Research,Lead Researcher,hol_resea_dtp_315,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Minted pillar PESTEL_ANALYSIS.md + SOP-RESEARCH_PRONG_SYNTHESIS_001 pairing.,differentiating,Corporate Intelligence & Research,Per-prong PESTEL six-viewpoint craft at Research Action synthesize stage 4.,
CAP-RES-HXPESTAL-ANALYSIS,HxPESTAL Master-Synthesis (H × PESTAL),Research,Lead Researcher,hol_resea_dtp_99,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Macro lens; Activism replaces Environmental; MADEIRA Methodology mode intent proof.,differentiating,Corporate Intelligence & Research,Holistika master-synthesis harmonising per-prong PESTEL/Porter with HxPESTAL intent tracker.,
CAP-RES-ANALYSIS-FORESIGHT,"Analytic Assessment, Frameworks & Foresight",Research,Intelligence Analyst,hol_resea_dtp_154;hol_resea_dtp_283;hol_resea_dtp_314,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I; PESTEL/HxPESTAL split to CAP-RES-PESTEL-ANALYSIS + CAP-RES-HXPESTAL-ANALYSIS (active 2026-06-10).,differentiating,Corporate Intelligence & Research,"Convert information into intelligence — assessment cycle, foresight scenarios, temporal/generational analysis.",
CAP-RES-COMPETITIVE-MARKET,Competitive & Market Intelligence,Research,Intelligence Analyst,hol_resea_dtp_230;hol_resea_dtp_316,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"Competitive intelligence, positioning and benchmarking, and market-demand research (absorbs Operations market-intel).",
CAP-RES-BIZ-PROCESS-ENG,Business & Process Engineering Analysis,Research,Holistik Researcher,hol_resea_dtp_280;hol_resea_dtp_281;hol_resea_dtp_282,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"Process engineering, business engineering and factor-combination analysis (Holistika methodology pillars).",
CAP-RES-REPORTING-PACKAGING,Intelligence Reporting & Research Output Packaging,Research,Lead Researcher,hol_res_prc_intelligence_report_001;hol_resea_dtp_318;hol_resea_dtp_321,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,"The dissemination stage — research briefs, intelligence reports and deliverable packaging.",
CAP-RES-KB-PIPELINE-RADAR,"Research Knowledge Base, Pipeline & Freshness Radar",Research,Lead Researcher,hol_resea_dtp_research_radar_001;gtm_proc_research_pipeline;gtm_research_dtp_5,SUBS-HOLISTIKA-KIRBE,,active,,,,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Corporate Intelligence & Research,"Store/recall — the research KB, material pipeline and the freshness radar that feeds MADEIRA's scenario corpus (absorbs Tech AI scenario-radar).",CAP-M05;CAP-M06
CAP-RES-MULTI-DOMAIN-COVERAGE,Multi-Domain Research Coverage & Sense-Making,Research,Holistik Researcher,hol_resea_dtp_302,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Corporate Intelligence & Research,Run structured intelligence across a standing subject portfolio (People/Security/Macro/AI/Politics/Social/Logic/Legal/UX); the subject taxonomy itself lives in TOPIC_REGISTRY.,
CAP-TALENT-ACQUISITION,Talent Acquisition & Candidate Assessment,People,CPO,thi_peopl_dtp_98;tbi_peopl_dtp_recruiter_onboarding_001,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric","Source, interview and assess internal hires and recruiters against role-fit criteria.",
CAP-TALENT-ONBOARDING,Talent Onboarding & Enablement,People,People Operations Manager,hol_peopl_dtp_284;hol_peopl_dtp_314;hol_peopl_dtp_147,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric","Bring operators, cohorts and external collaborators to productive capability via structured onboarding.",
CAP-WORKFORCE-PLANNING,Workforce Planning & Role-Fit Design,People,CPO,gtm_team_dtp_11;gtm_team_dtp_12;gtm_team_dtp_25,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Map required abilities onto the org chart, find capability gaps and prioritise role demand by phase and area strategy.",
CAP-CAREER-PATHWAYS,Career Pathway & Progression Design,People,People Operations Manager,gtm_team_dtp_23;gtm_team_dtp_26,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric",Design role-based progression paths from current ability toward internal capability objectives.,
CAP-LEARNING-DEVELOPMENT,"Learning, Training & Curriculum Development",People,CPO,hol_peopl_dtp_313;thi_peopl_dtp_131;tbi_peopl_dtp_apprentice_curriculum_assignment_001,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Build and coach curricula that move people and apprentices from training to billable output, including formation-time estimation.",
CAP-EXTERNAL-COLLABORATOR-MGMT,External / Outsourced Collaborator Sourcing & Engagement,People,People Operations Manager,gtm_team_dtp_7;gtm_team_dtp_14;tbi_peopl_dtp_outsourced_helper_soc_review_001,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric","Source, compare, contract and integrate freelance/outsourced collaborators, including SOC review and market-rate fit.",
CAP-ACCESS-PROVISIONING,Workforce Access Provisioning & Security Tiering,People,People Operations Manager,gtm_team_dtp_8;gtm_team_dtp_9;gtm_team_dtp_22,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric","Assign tools, profiles and security tiers to people by engagement and buyer sensitivity.",
CAP-COMPENSATION-SETTLEMENT,"Compensation, Payroll & Collaborator Settlement",People,People Operations Manager,hol_peopl_dtp_315;tbi_peopl_dtp_percentage_collaborator_payout_001;hol_peopl_dtp_collaborator_share_001,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Finance & Revenue Operations,"Run payroll, budget allocation, percentage-collaborator payouts and collaborator-share settlement (Finance owns the ledger).",
CAP-ENGAGEMENT-MODEL-GOVERNANCE,Engagement Model Governance & Intake Classification,People,CPO,tbi_peopl_dtp_engagement_model_registry_mtnce_001;tbi_peopl_dtp_engagement_model_classification_001;tbi_peopl_dtp_engagement_lifecycle_routing_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Delivery & Client Engagement Operations,Maintain the engagement-model registry and classify/route each engagement at intake (People mints the pattern; Delivery consumes).,CAP-M26
CAP-CANONICAL-GOVERNANCE,Canonical Registry & Decision-Ratification Governance,People,Compliance,hol_peopl_dtp_310;hol_peopl_dtp_311;hol_peopl_dtp_101,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric",Audit canonical registries and ratify decisions/policies that keep the governance SSOT trustworthy.,CAP-M04
CAP-KNOWLEDGE-REGISTER-STEWARDSHIP,Knowledge & Source Register Stewardship,People,Compliance,hol_peopl_dtp_303;hol_peopl_dtp_304,SUBS-HOLISTIKA-KIRBE,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Corporate Intelligence & Research,Steward knowledge/source registers (GOI/POI) and redact adviser transcripts to access tier.,CAP-M09
CAP-REGULATORY-READINESS,Regulatory Readiness & Evidence Packs,People,Compliance,hol_peopl_dtp_302,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"Legal, Compliance & Privacy",Assemble regulatory readiness and evidence packs (e.g. ENISA) for external attestation.,
CAP-COMPLIANCE-AUTOMATION,Compliance Workflow Automation,People,Compliance,SOP-FLOWMAKER_COMPLIANCE_AUTOMATION_003,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"Legal, Compliance & Privacy",Automate recurring compliance workflows end-to-end.,
CAP-ETHICS-GOVERNANCE,Ethics & Responsible-AI Review,People,CPO,hol_peopl_dtp_139;hol_peopl_dtp_312;tbi_peopl_dtp_agentic_ethics_boundaries_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Review ethical and responsible-AI boundaries, AI-overreach claims and the allies/neutrals/enemies stakeholder-ethics frame.",
CAP-PRECOMMIT-SYNTHESIS-DISCIPLINE,Pre-Commit Synthesis & Tranche Quality Discipline,People,Capability Curator,hol_peopl_dtp_synthesis_before_tranche_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Run tranche-level synthesis, charter authoring, closing-loop test design and finding-disposition before any commit.",CAP-M29
CAP-CLOSURE-ASSURANCE-GOVERNANCE,Closure Assurance & Verdict Governance,People,Capability Curator,hol_peopl_dtp_uat_governance_001;hol_peopl_dtp_pwf_governance_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric",Enforce the closure-UAT quality bar and PASS-WITH-FOLLOWUP rationale discipline at wave/initiative close.,CAP-M24;CAP-M28
CAP-REGRESSION-INDEX-ASSURANCE,Baseline Regression & Index-Integrity Assurance,People,Capability Curator,hol_peopl_dtp_inter_wave_regression_001;hol_peopl_dtp_index_integrity_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric",Run inter-wave regression and baseline-index integrity sweeps to catch drift across the knowledge base.,
CAP-EXPERIENCE-UX-QUALITY,Experience & UX Quality Design,People,Capability Curator,hol_peopl_dtp_ux_research_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Conduct UX research and the experience quality bar, including ERP-engagement-governance surface design.",CAP-M25
CAP-CAPABILITY-CONFIDENCE-STEWARDSHIP,Capability-Map Confidence Stewardship,People,Capability Curator,hol_peopl_talent_h_capability_confidence_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric",Rate and maintain per-capability confidence across the de-densified capability map on a recurring cadence.,
