topic_id,title,lifecycle_status,primary_owner_role,program_id,plane,parent_topic,related_topics,depends_on,subsumes,subsumed_by,manifest_path,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,subject_kind,steward_role,working_area_path,knowledge_index_path,physical_model
topic_sales_motion,Sales motion (per-ICP discovery to close),active,PMO,shared,ops,topic_business_strategy,topic_channel_strategy;topic_pricing_model,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/SALES_MOTION.md,Initiative 29 P4. Per-ICP stages (discovery -> qualification -> proposal -> close); cycle length + deal size bands; founder-led vs PLG split per ARR-band. Informational; deck-bound only in investor-variant. Primary owner is PMO (operator-fillable; founder authority remains in the artifact frontmatter).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_unit_economics,Unit economics (LTV/CAC/payback),active,Business Controller,shared,ops,topic_business_strategy,topic_pricing_model;topic_channel_strategy,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/UNIT_ECONOMICS.md,"Initiative 29 P4. 2026 benchmarks (3:1 LTV:CAC SaaS target, 12-18mo payback, 2.0-2.9 sustainable for bootstrapped) + per-channel matrix. Deck-bound: feeds slide 12 (Roadmap).",2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_bootstrapping_plan,Bootstrapping plan (runway + scenarios),active,Business Controller,shared,ops,topic_business_strategy,topic_unit_economics;topic_pricing_model,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/BOOTSTRAPPING_PLAN.md,"Initiative 29 P4. Personal + business expense split; 3 scenarios (conservative/base/aggressive); 4-zone runway forecast (red/yellow/green/blue); break-even point per scenario. Deck-bound: feeds slide 12 (Roadmap) and slide 13 (Encaje ENISA, use of funds).",2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_investment_thesis,Investment thesis (if/when raise),active,PMO,shared,ops,topic_business_strategy,topic_bootstrapping_plan;topic_unit_economics,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/INVESTMENT_THESIS.md,"Initiative 29 P4. Default posture: bootstrap. Amount band, milestones unlocked, dilution band, comparable rounds, alternatives (debt, ENISA loan, partner advance, customer prepay). Deck-bound: feeds slide 13 (Encaje ENISA). Primary owner is PMO (operator-fillable; founder authority remains in the artifact frontmatter).",2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_strategy_decisions,Strategy decision log,active,PMO,shared,ops,topic_business_strategy,,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/STRATEGY_DECISION_LOG.md,Initiative 29 P4. Cross-strategy decision log: id/date/scope/options/decision/rationale/revisit-trigger. Decisions made in other strategy artifacts are summarised here for chronological view.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_poc_commercial_map,POC to commercial map,active,PMO,shared,ops,topic_business_strategy,topic_pricing_model;topic_channel_strategy,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/POC_TO_COMMERCIAL_MAP.csv,Initiative 29 P4. Each shipped Holistica delivery as a row: poc_id / delivery_name / partner_or_buyer_ref / domain / engagement_type / revenue_band / recurring / case_study_status. Deck-bound: feeds slide 06 (Tracción real).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_brand_visual_identity,Brand visual identity (tokens + design system),active,Brand & Narrative Manager,shared,ops,,,,,,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_VISUAL_PATTERNS.md,"Initiative 29 P2. Canonical visual identity (tokens, typography, hero gradient, layout primitives, anti-patterns). Already referenced in BRAND_VISUAL_PATTERNS.md frontmatter and in FIGMA_FILES_REGISTRY.md reserved slot for the future holistika-design-system Figma file. manifest_path points at the canonical brand-visual MD. Owner role renamed Brand Manager -> Brand & Narrative Manager 2026-05-15 per D-IH-72-AO (regression-amend Brand+Storytelling merger).",2026-05-15,Brand & Narrative Manager,D-IH-72-AO,v3.0,methodology,KM Officer,,,keyed_in_place
topic_madeira_platform,MADEIRA agentic platform (second product axis),active,System Owner,shared,ops,topic_business_strategy,topic_kirbe_billing_plane_routing;topic_pricing_model,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/MADEIRA_PLATFORM.md,"Initiative 30 P1. Product thesis for MADEIRA as the second axis (agentic platform alongside KiRBe SaaS). Today: embedded in service. Bridge: shared runtime with KiRBe. Tomorrow: independent SaaS. Deck-bound: feeds slides 04, 05, 06 (new card-madeira), 11, 12. Carries 1 TODO[OPERATOR-madeira-saas-window] for productization commit window.",2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_governance_moat,Governance moat (quantified operational discipline),active,PMO,shared,ops,topic_business_strategy,topic_business_strategy,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/GOVERNANCE_MOAT.md,"Initiative 30 P3. Quantified moat thesis: 17 governed topics + 1093 governed processes + 65 governed roles + 11 KM Output 1 manifests + 3-layer validators + 4 quality gates + deterministic build pipeline. Deck-bound: feeds slide 11 pillar 1 (replaces qualitative 'Internal-first' with quantified governance). Live numbers verified by tests/test_governance_moat_metrics.py against validate_hlk output (drift detector: +0/-0 topics + roles, +/-5% processes).",2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_persona_registry,Persona registry (people-axis archetypes),active,PMO,shared,ops,,topic_channel_touchpoint_registry,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_REGISTRY.csv,Initiative 31 P2.1. 16 archetype rows: each persona has direction / intent / value_band / typical_languages / typical_channels / typical_distance_band / qualification_gate / intro_artifact_path / handoff_role. Drives the 1st axis of the 5-axis Holistik Ops operating system (Persona x Channel x Distance x Language x Artifact-class).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_channel_touchpoint_registry,Channel touchpoint registry (where humans reach Holistika),active,PMO,shared,ops,,topic_persona_registry,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CHANNEL_TOUCHPOINT_REGISTRY.csv,Initiative 31 P3. 10 touchpoint rows. Distinct from CHANNEL_STRATEGY (acquisition hypotheses): touchpoint registry is operational triage. Drives the 2nd axis of the 5-axis Holistik Ops operating system.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_sourcing_register,External vendor sourcing register (with distance fields),active,PMO,shared,ops,topic_business_strategy,topic_persona_registry,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SOURCING_REGISTER.csv,Initiative 31 P5.2. Each external vendor: vendor_id / discipline / engagement_type / languages_supported / timezone_band / hourly_rate_band / quality_band / distance_band_at_first_contact / current_distance_band / last_engagement_date. Captures the cost of acquiring vendors and the migration of relationships from N4 cold to N1 trusted.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_holistik_ops_discovery,Holistik Ops Discovery (5-axis operating system meta-doc),active,PMO,shared,ops,,topic_persona_registry;topic_channel_touchpoint_registry;topic_sourcing_register,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/HOLISTIK_OPS_DISCOVERY.md,Initiative 31 P6. The meta-pattern document naming the 5-axis Holistik Ops operating system: Persona x Channel x Distance x Language x Artifact-class. Cross-references every register and SOP produced by Initiative 31. The reach-map property turns founder social capital into a queryable governed asset.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_skill_registry,Skill registry (multiagentic decomposition SSOT),active,System Owner,shared,ops,,topic_persona_registry;topic_channel_touchpoint_registry;topic_holistik_ops_discovery,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SKILL_REGISTRY.csv,"Initiative 32 P2 (D-IH-32-B). 7th canonical dimension. Each row: skill_id / agents_supported / axes_consumed / tools_required / version / owner_role / eval_baseline_pct / langfuse_trace_pattern / tenant_scope (D-IH-32-J: ^shared$ only until I34) / lifecycle_status / topic_ids / description / notes. Closes the gap that skill-shaped artifacts live in 4 unaligned places (prompts/base/, .cursor/skills/, config/workspace-scaffold/<agent>/IDENTITY.md, config/agent-capabilities.json). Doubles as the MADEIRA-SaaS productisation substrate.",2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_touchpoint_kit_cell_registry,Touchpoint-kit cell registry (per-cell template SSOT),active,PMO,shared,ops,,topic_persona_registry;topic_channel_touchpoint_registry;topic_holistik_ops_discovery,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/TOUCHPOINT_KIT_CELL_REGISTRY.csv,Initiative 32 P3 (D-IH-32-C). Makes the I31 touchpoint-kit queryable from runtime. Each row mirrors one (persona x channel x language) template file under docs/references/hlk/v3.0/_assets/touchpoint-kit/. Validator's FS-vs-CSV drift detector enforces 1:1 parity with the filesystem; planted-phantom regression test guards it. 15 seed rows across 8 (persona x channel) combinations.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_policy_register,Policy register (RLS + service_role rotation + redaction + PII scope SSOT),active,Compliance,shared,ops,,topic_holistik_ops_discovery,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/POLICY_REGISTER.csv,"Initiative 32 P4 (D-IH-32-Q4). Promotes RLS rules + service_role rotation cadences + redaction policies + PII scope from SOP prose to a queryable CSV. 14 seed rows covering compliance.* and finops.* and holistika_ops.lead_intake RLS, the I26 P2 quarterly service_role rotation cadence, the BRAND_JARGON_AUDIT redaction policy, and the GOI/POI display_name obfuscation rule. Self-referential: POL-RLS-POLICY-REGISTER-MIRROR-I32 is itself a policy_register row.",2026-05-14,Compliance,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_repo_health_snapshot,Repo health snapshot (cross-repo extraction discipline),active,System Owner,shared,ops,,topic_holistik_ops_discovery;topic_policy_register,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/REPO_HEALTH_SNAPSHOT.csv,"Initiative 32 P7 (D-IH-32-K + D-IH-32-L). Pull-based weekly snapshot of external repo state (boilerplate, hlk-erp, kirbe). Tracks EXTERNAL_REPO_CONTRACT.md presence, akos-mirror.mdc presence, language frontmatter compliance, brand jargon violations, embedded Obsidian snapshot. 4-consecutive-week regression triggers Initiative 42 (cross-repo CI integration).",2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_persona_scenario_registry,Persona scenario registry (persona-driven UAT scenario library),active,System Owner,shared,ops,,topic_persona_registry;topic_skill_registry;topic_holistik_ops_discovery,,,,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_SCENARIO_REGISTRY.csv,Initiative 47 P1 (D-IH-47-A). The persona-driven UAT scenario library. Joins PERSONA_REGISTRY x SKILL_REGISTRY x TOPIC_REGISTRY. 5 typed dimensions per scenario: persona_id / skill_id / scenario_class (lookup/multihop/adversarial/recovery/benchmark/cross_axis/cannot_answer) / difficulty_class (trivial/moderate/hard/impossible auto-classified by P10 calibration) / expected_outcome_class (PASS/GROUND/ESCALATE/REFUSE). tenant_id NULL-default for I34 multi-tenant readiness per D-IH-47-K. Target ~350 scenarios at I47 closure; difficulty distribution 40/40/10/10 within tolerance ±5%.,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_office_automation,Office Automation research playlist,proposed,PMO,shared,shared,,,,,,,Trello 676993277253135f01d5d95e; promoted D2 2026-05-29; manifest forward-charter under docs/wip/intelligence/topic-office-automation/,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_people_research,People research playlist,proposed,CPO,shared,shared,,,,,,,Trello 676993287efead30a968408e; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_security_intelligence,Security & Intelligence research playlist,proposed,Holistik Researcher,shared,shared,,,,,,,Trello 676993288a2d6fa5d743649e; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_design_research,Design research playlist,proposed,Brand & Narrative Manager,shared,shared,,,,,,,Trello 67699329fefb5c8b58d8a9d9; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_system_design_research,System Design research playlist,proposed,Tech Lead,shared,shared,,,,,,,Trello 67699329d8c0958ff8311f6e; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_content_channel_strategy,Content & Channel Strategy research playlist,proposed,Reach Manager,shared,shared,,,,,,,Trello 676993295672e3a8c21169ea; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_politics_research,Politics research playlist,proposed,Holistik Researcher,shared,shared,,,,,,,Trello 6769932b297f4ab43c8b53d7; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_social_research,Social research playlist,proposed,Holistik Researcher,shared,shared,,,,,,,Trello 6769932b3b3baacaa104a7ef; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_logic_research,Logic research playlist,proposed,Compliance,shared,shared,,,,,,,Trello 6769932b21a84a9e94c642fa; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_ux_crm_research,UX - Customer Relationship research playlist,proposed,Brand & Narrative Manager,shared,shared,,,,,,,Trello 6769932c0ecd2c833c05ab04; promoted D2 2026-05-29,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_madeira_product_timeline,MADEIRA Product Timeline (PMO checklist),proposed,Product Owner,PRJ-HOL-INF-2026,techops,,,,,,,Trello 676992dcb64b6e72a6a4b0d3; promoted D2 2026-05-29; related_topics cleared until topic_madeira_research_radar registers,2026-05-29,PMO,D-IH-75-G,v3.2,research_playlist,KM Officer,,,keyed_in_place
topic_engagement_suez_webuy_p2p,Suez/WeBuy procure-to-pay engagement,active,Lead Researcher,shared,ops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,engagement,KM Officer,docs/wip/intelligence/2026-05-10-suez-webuy-procure-to-pay,,keyed_in_place
topic_agentic_os_taxonomy,Agentic-OS and AIC taxonomy,active,System Owner,shared,techops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,doctrine,KM Officer,docs/wip/intelligence/agentic-os-and-aic-taxonomy-2026-05-29,,keyed_in_place
topic_area_governance,Area governance and completeness doctrine,active,Compliance,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,doctrine,KM Officer,docs/wip/intelligence/area-completeness-doctrine-2026-06-05,,keyed_in_place
topic_brand_domain_naming,Brand and domain naming,active,Brand & Narrative Manager,shared,mktops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,research_playlist,KM Officer,docs/wip/intelligence/brand-domain-naming-2026-05-31,,keyed_in_place
topic_canonical_articulation_model,Canonical Articulation Model (HCAM),active,Data Governance Office,shared,shared,,topic_area_governance,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,doctrine,KM Officer,docs/wip/intelligence/canonical-articulation-model-2026-06-05,,keyed_in_place
topic_investor_briefs,Investor briefs,active,PMO,shared,ops,,topic_investment_thesis,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,deliverable_bundle,KM Officer,docs/wip/intelligence/investor-briefs-2026-05-27,,keyed_in_place
topic_investor_stability_brief,Investor stability brief,active,Business Controller,shared,finops,,topic_investor_briefs,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); empty placeholder folder (no tracked corpus yet); working_area_path intentionally blank until a corpus exists.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,deliverable_bundle,KM Officer,,,keyed_in_place
topic_model_selection,Model selection and routing,active,System Owner,shared,techops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,methodology,KM Officer,docs/wip/intelligence/model-selection-2026-05-28,,keyed_in_place
topic_research_grounding,Research grounding (wave enrichment),active,Holistik Researcher,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,methodology,KM Officer,docs/wip/intelligence/research-grounded-wave-r-plus-4-2026-05-27,,keyed_in_place
topic_research_lifecycle,Research lifecycle doctrine,active,Holistik Researcher,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,doctrine,KM Officer,docs/wip/intelligence/research-lifecycle-doctrine-2026-05-29,,keyed_in_place
topic_research_radar,Research Radar (IntelligenceOps freshness),active,Lead Researcher,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,methodology,KM Officer,docs/wip/intelligence/research-radar-2026-05-29,,keyed_in_place
topic_substrate_landscape,Substrate landscape audit cadence,active,System Owner,shared,techops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,methodology,KM Officer,docs/wip/intelligence/substrate-audit-2026-Q2,,keyed_in_place
topic_ai_landscape_research,AI landscape research,active,Holistik Researcher,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,research_playlist,KM Officer,docs/wip/intelligence/topic-ai-landscape-research,,keyed_in_place
topic_legal_research,Legal research,active,Legal Counsel,shared,advops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,research_playlist,KM Officer,docs/wip/intelligence/topic-legal-research,,keyed_in_place
topic_macro_investment_research,Macro and investment research,active,PMO,shared,finops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,research_playlist,KM Officer,docs/wip/intelligence/topic-macro-investment-research,,keyed_in_place
topic_madeira_research_radar,MADEIRA research radar,active,Product Owner,shared,techops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,research_playlist,KM Officer,docs/wip/intelligence/topic-madeira-research-radar,,keyed_in_place
topic_research_pipeline,Research pipeline,active,Holistik Researcher,shared,shared,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,methodology,KM Officer,docs/wip/intelligence/topic-research-pipeline,,keyed_in_place
topic_enisa_company_dossier,ENISA company dossier (deck + cover + Figma bundle),active,Compliance,PRJ-HOL-FOUNDING-2026,advops,topic_enisa_evidence,topic_enisa_dossier_es,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,deliverable_bundle,KM Officer,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier,,keyed_in_place
topic_pmo_client_delivery_hub,PMO client delivery hub (portfolio SSOT),active,PMO,shared,ops,,,,,,,Minted D-IH-95-H L5 data tranche (scattered-topic governance); corpus bound via working_area_path/knowledge_index_path.,2026-06-07,Data Governance Office,D-IH-95-H,v3.1,registry_anchor,KM Officer,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/TOPIC_PMO_CLIENT_DELIVERY_HUB.md,keyed_in_place
