confidence_id,capability_id,substrate_score,repeatability_score,quality_score,translatability_score,auditability_score,aggregate_confidence,rating_method,rated_at,rated_by,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
CONF-CAP-MKT-CREATIVE-WEB-20260608,CAP-MKT-CREATIVE-WEB,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-DEMAND-GEN-20260608,CAP-MKT-DEMAND-GEN,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-ANALYTICS-20260608,CAP-MKT-ANALYTICS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-EXPERIMENTATION-20260608,CAP-MKT-EXPERIMENTATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-PR-MEDIA-20260608,CAP-MKT-PR-MEDIA,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-RESONANCE-20260608,CAP-MKT-RESONANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-ACCOUNT-LIFECYCLE-20260608,CAP-MKT-ACCOUNT-LIFECYCLE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-PRODUCT-LAUNCH-20260608,CAP-MKT-PRODUCT-LAUNCH,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-DEEP-METHODOLOGY-20260608,CAP-RES-DEEP-METHODOLOGY,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-ELICITATION-HUMINT-20260608,CAP-RES-ELICITATION-HUMINT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-OSINT-20260608,CAP-RES-OSINT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-SECONDARY-SYNTHESIS-20260608,CAP-RES-SECONDARY-SYNTHESIS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-SOURCE-GRADING-20260608,CAP-RES-SOURCE-GRADING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-CLASSIFICATION-20260608,CAP-RES-CLASSIFICATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-ANALYSIS-FORESIGHT-20260608,CAP-RES-ANALYSIS-FORESIGHT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-COMPETITIVE-MARKET-20260608,CAP-RES-COMPETITIVE-MARKET,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-BIZ-PROCESS-ENG-20260608,CAP-RES-BIZ-PROCESS-ENG,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-REPORTING-PACKAGING-20260608,CAP-RES-REPORTING-PACKAGING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-KB-PIPELINE-RADAR-20260608,CAP-RES-KB-PIPELINE-RADAR,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-RES-MULTI-DOMAIN-COVERAGE-20260608,CAP-RES-MULTI-DOMAIN-COVERAGE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-TALENT-ACQUISITION-20260608,CAP-TALENT-ACQUISITION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-TALENT-ONBOARDING-20260608,CAP-TALENT-ONBOARDING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-WORKFORCE-PLANNING-20260608,CAP-WORKFORCE-PLANNING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CAREER-PATHWAYS-20260608,CAP-CAREER-PATHWAYS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-LEARNING-DEVELOPMENT-20260608,CAP-LEARNING-DEVELOPMENT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-EXTERNAL-COLLABORATOR-MGMT-20260608,CAP-EXTERNAL-COLLABORATOR-MGMT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-ACCESS-PROVISIONING-20260608,CAP-ACCESS-PROVISIONING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-COMPENSATION-SETTLEMENT-20260608,CAP-COMPENSATION-SETTLEMENT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-ENGAGEMENT-MODEL-GOVERNANCE-20260608,CAP-ENGAGEMENT-MODEL-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CANONICAL-GOVERNANCE-20260608,CAP-CANONICAL-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-KNOWLEDGE-REGISTER-STEWARDSHIP-20260608,CAP-KNOWLEDGE-REGISTER-STEWARDSHIP,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-REGULATORY-READINESS-20260608,CAP-REGULATORY-READINESS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-COMPLIANCE-AUTOMATION-20260608,CAP-COMPLIANCE-AUTOMATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-ETHICS-GOVERNANCE-20260608,CAP-ETHICS-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-PRECOMMIT-SYNTHESIS-DISCIPLINE-20260608,CAP-PRECOMMIT-SYNTHESIS-DISCIPLINE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CLOSURE-ASSURANCE-GOVERNANCE-20260608,CAP-CLOSURE-ASSURANCE-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-REGRESSION-INDEX-ASSURANCE-20260608,CAP-REGRESSION-INDEX-ASSURANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-EXPERIENCE-UX-QUALITY-20260608,CAP-EXPERIENCE-UX-QUALITY,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CAPABILITY-CONFIDENCE-STEWARDSHIP-20260608,CAP-CAPABILITY-CONFIDENCE-STEWARDSHIP,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DESIGN-PATTERN-STEWARDSHIP-20260608,CAP-DESIGN-PATTERN-STEWARDSHIP,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-AGENTIC-OPERATIONS-20260608,CAP-AGENTIC-OPERATIONS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DELIVERY-METHODOLOGY-STEWARDSHIP-20260608,CAP-DELIVERY-METHODOLOGY-STEWARDSHIP,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-PROGRAM-PORTFOLIO-MGMT-20260608,CAP-OPS-PROGRAM-PORTFOLIO-MGMT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-PROJECT-ENGAGEMENT-PLANNING-20260608,CAP-OPS-PROJECT-ENGAGEMENT-PLANNING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-DELIVERY-EXECUTION-CADENCE-20260608,CAP-OPS-DELIVERY-EXECUTION-CADENCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-OPERATING-MODEL-DESIGN-20260608,CAP-OPS-OPERATING-MODEL-DESIGN,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-PROCESS-CATALOG-MGMT-20260608,CAP-OPS-PROCESS-CATALOG-MGMT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-WORKFORCE-CAPACITY-PLANNING-20260608,CAP-OPS-WORKFORCE-CAPACITY-PLANNING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-OPERATIONAL-GOVERNANCE-20260608,CAP-OPS-OPERATIONAL-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-KNOWLEDGE-MGMT-SYSTEM-20260608,CAP-OPS-KNOWLEDGE-MGMT-SYSTEM,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-ERP-DATA-PLATFORM-BUILD-20260608,CAP-OPS-ERP-DATA-PLATFORM-BUILD,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-COMPONENT-PORTFOLIO-MGMT-20260608,CAP-OPS-COMPONENT-PORTFOLIO-MGMT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-SERVICE-CATALOG-PRODUCTIZATION-20260608,CAP-OPS-SERVICE-CATALOG-PRODUCTIZATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-INBOUND-LEAD-ROUTING-20260608,CAP-OPS-INBOUND-LEAD-ROUTING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-REVENUE-OPERATIONS-20260608,CAP-OPS-REVENUE-OPERATIONS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-OPS-PROCESS-PRIORITIZATION-20260608,CAP-OPS-PROCESS-PRIORITIZATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CONVERSATIONAL-AI-ENGINE-20260608,CAP-CONVERSATIONAL-AI-ENGINE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-AI-PERSONA-PERSONALITY-20260608,CAP-AI-PERSONA-PERSONALITY,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-KNOWLEDGE-RETRIEVAL-RAG-20260608,CAP-KNOWLEDGE-RETRIEVAL-RAG,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-KNOWLEDGE-VAULT-GOVERNANCE-20260608,CAP-KNOWLEDGE-VAULT-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-AI-EVALUATION-BENCHMARKING-20260608,CAP-AI-EVALUATION-BENCHMARKING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-AI-AGENT-ORCHESTRATION-20260608,CAP-AI-AGENT-ORCHESTRATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MADEIRA-SCENARIO-LIFECYCLE-20260608,CAP-MADEIRA-SCENARIO-LIFECYCLE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-API-LIFECYCLE-GOVERNANCE-20260608,CAP-API-LIFECYCLE-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-WEB-APP-EXPERIENCE-ENG-20260608,CAP-WEB-APP-EXPERIENCE-ENG,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MULTIPLATFORM-DEPLOYMENT-20260608,CAP-MULTIPLATFORM-DEPLOYMENT,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CICD-RELEASE-ENG-20260608,CAP-CICD-RELEASE-ENG,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CODEBASE-CATALOG-STANDARDS-20260608,CAP-CODEBASE-CATALOG-STANDARDS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-CROSS-REPO-GOVERNANCE-20260608,CAP-CROSS-REPO-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-AGENTIC-INFRA-OPS-20260608,CAP-AGENTIC-INFRA-OPS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-TECHOPS-RELIABILITY-OBSERVABILITY-20260608,CAP-TECHOPS-RELIABILITY-OBSERVABILITY,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-APPLICATION-SECURITY-20260608,CAP-APPLICATION-SECURITY,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
