matrix_id,capability_id,aic_id,implementation_status,approach_summary,tool_catalog_ref,realisation_refs,paired_madeira_task_id,confidence_class,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
ACIM-0016,CAP-MADEIRA-TOOL-CATEGORY-RBAC,AIC-MADEIRA-ON-CURSOR,implemented,16-category tool RBAC validator,scripts/validate_madeira_tool_rbac.py; MADEIRA_TOOL_RBAC.csv,,,confirmed,Alpha CAP-M03. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0017,CAP-CANONICAL-GOVERNANCE,AIC-MADEIRA-ON-CURSOR,implemented,Inline ratify on CSV/canonical gates,.cursor/rules/akos-inline-ratification.mdc; .cursor/skills/inline-ratify-craft/SKILL.md,,,confirmed,Alpha CAP-M04. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0018,CAP-RES-DEEP-METHODOLOGY,AIC-MADEIRA-ON-CURSOR,implemented,Research action 8-stage loop,scripts/validate_research_action.py; RESEARCH_ACTION_DISCIPLINE.md,,,confirmed,Alpha CAP-M05. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0019,CAP-RES-KB-PIPELINE-RADAR,AIC-MADEIRA-ON-CURSOR,pilot,Research radar freshness sweep,scripts/validate_research_radar.py; scripts/research_radar_sweep.py,,,confirmed,Alpha CAP-M06. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0020,CAP-MADEIRA-RESEARCH-CENTER-SURFACE,AIC-MADEIRA-ON-CURSOR,pilot,Research Center experiential UAT manifests,artifacts/uat-screenshots/i96-research-center-v32-alpha-t0-2026-06-14/,,,confirmed,Alpha CAP-M07. evidence_class=ECB-0010 | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0021,CAP-KNOWLEDGE-RETRIEVAL-RAG,AIC-MADEIRA-ON-CURSOR,pilot,KiRBe retrieval worker substrate,docs/wip/planning/83-ai-archivist-and-kirbe-ingestor/master-roadmap.md,,,confirmed,Alpha CAP-M08. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0022,CAP-KNOWLEDGE-REGISTER-STEWARDSHIP,AIC-MADEIRA-ON-CURSOR,pilot,Source register + ledger promote path,docs/wip/intelligence/madeira-brand-capability-harmonization-v32-alpha-2026-06-14/source-ledger.csv,,,confirmed,Alpha CAP-M09 supplement. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0023,CAP-AI-EVALUATION-BENCHMARKING,AIC-MADEIRA-ON-CURSOR,implemented,Langfuse traces + release-gate eval,scripts/release-gate.py,,,confirmed,Alpha CAP-M10. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0024,CAP-AGENTIC-INFRA-OPS,AIC-MADEIRA-ON-CURSOR,implemented,Gateway repair + check-only proof,scripts/openclaw_gateway_repair.py; artifacts/gateway-repair-post-reboot-2026-06-15.json,,,confirmed,Alpha CAP-M12. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0025,CAP-FIN-COUNTERPARTY-MDM,AIC-CURSOR-BORROWED,implemented,Finops counterparty register,scripts/validate_finops_counterparty_register.py,,,confirmed,Alpha CAP-M14 primary. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0026,CAP-FIN-REVENUE-OPS-BILLING,AIC-CURSOR-BORROWED,implemented,RevOps billing sibling,scripts/validate_finops_ledger.py,,,confirmed,Alpha CAP-M14 supplement. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0027,CAP-DATA-PLATFORM-PRODUCTS,AIC-CURSOR-BORROWED,pilot,Infonomics join via data-product planes,docs/wip/planning/97-infonomics-data-economics-p0/charter.md,,,pre-ratified,Alpha CAP-M15; I97 scheduled. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0028,CAP-MADEIRA-CONTEXT-ECONOMICS,AIC-MADEIRA-ON-CURSOR,forecasted,Context economics spec ratified; T2 code,docs/wip/intelligence/madeira-brand-capability-harmonization-v32-alpha-2026-06-14/context-economics-wip-spec-2026-06-15.md,,,pre-ratified,Alpha CAP-M16..M18. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0029,CAP-AI-AGENT-ORCHESTRATION,AIC-MADEIRA-ON-CURSOR,implemented,OpenClaw normalize + MCP orchestration,scripts/legacy/verify_openclaw_inventory.py; AGENTIC_FRAMEWORK_LANDSCAPE.md,,,confirmed,Alpha CAP-M19/M20/M21. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0030,CAP-API-LIFECYCLE-GOVERNANCE,AIC-MADEIRA-ON-CURSOR,implemented,MCP server definition governance,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-MCP_SERVER_DEFINITION,,,confirmed,Alpha CAP-M21 supplement. evidence_class=ECB-0006 | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0031,CAP-MULTIPLATFORM-DEPLOYMENT,AIC-CURSOR-BORROWED,pilot,Hosted SDK/API path I74,docs/wip/planning/74-madeira-hosted-sdk-api/master-roadmap.md,,,pre-ratified,Alpha CAP-M22. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0032,CAP-CLOSURE-ASSURANCE-GOVERNANCE,AIC-MADEIRA-ON-CURSOR,implemented,Experiential UAT + browser evidence,scripts/validate_uat_screenshot_evidence.py; scripts/validate_uat_report.py,,,confirmed,Alpha CAP-M24/M28. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0033,CAP-EXPERIENCE-UX-QUALITY,AIC-MADEIRA-ON-CURSOR,implemented,Quality Fabric 5-axis composition,.cursor/rules/akos-quality-fabric.mdc,,,confirmed,Alpha CAP-M25. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0034,CAP-ENGAGEMENT-MODEL-GOVERNANCE,AIC-CURSOR-BORROWED,implemented,Persona/scenario library,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_SCENARIO_REGISTRY.csv,,,confirmed,Alpha CAP-M26. evidence_class=ECB-0006 | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0035,CAP-PRECOMMIT-SYNTHESIS-DISCIPLINE,AIC-MADEIRA-ON-CURSOR,implemented,Synthesis-before-tranche gate,scripts/validate_synthesis_before_tranche.py,,,confirmed,Alpha CAP-M29. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0036,CAP-OPS-PROGRAM-PORTFOLIO-MGMT,AIC-CURSOR-BORROWED,implemented,Carryover posture index under PMO portfolio,docs/wip/planning/_trackers/carryover-posture-index.md,,,confirmed,Alpha CAP-M30. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
