item_id,area,role_owner,item_granularity,item_name,knowledge_pairing_status,paired_sop_status,mirror_coverage_status,audience_tags_status,cadence_status,verdict,gap_summary
env_mkt_dtp_7,MKT,Brand & Narrative Manager,process,High-Level Web design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_8,Tech,Front-End Developer,process,Components UI Development,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_9,MKT,Brand & Narrative Manager,process,Components UX design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_12,Tech,Tech Lead,process,Package Manager & SDK,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_13,Tech,Tech Lead,process,Codebase security,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_15,Tech,Database Owner,process,Database Management,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_16,Tech,Back-End Developer,process,UI logic,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_18,Tech,Tech Lead,process,"Integration Management (facebook, google, sentry, pinecone..)",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_19,MKT,Brand & Narrative Manager,process,Analytics,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_20,MKT,Brand & Narrative Manager,process,Buyer Funnel and Design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_legal_dtp_21,Legal,Legal Consumer Specialist,task,Terms and Conditions,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_legal_dtp_22,Legal,Legal Consumer Specialist,task,Privacy,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_legal_dtp_23,Legal,Legal Consumer Specialist,task,Retention (Think Big Legal),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_24,Tech,Back-End Developer,task,Retention (HLK Tech Lab),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_25,Tech,Back-End Developer,task,NDA (HLK Tech Lab),matched,unmatched,covered_by_emit,deferred,undeclared,partial,paired_sop;audience_tags_deferred;cadence_undeclared
thi_legal_dtp_26,Legal,Legal Collaborator Specialist,task,NDA (Think Big Legal template A),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_legal_dtp_27,Legal,Legal Consumer Specialist,task,NDA (Think Big Legal template B),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_28,Tech,Domain Specialist,task,DNS,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_29,Tech,Domain Specialist,task,Nameserver,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_30,Tech,Domain Specialist,task,Web Traffic Analytics,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
thi_data_dtp_31,Data,Data Steward,task,"Query, KPI & Reporting Catalog",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_32,Data,Data Steward,process,Enterprise MasterData (Relationship Management),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_33,Data,Data Steward,task,Datamarts & Enterprise Applications,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_34,Data,Data Engineer,process,RPA,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_35,Tech,Back-End Developer,task,Audiences (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_36,Tech,Back-End Developer,task,Events (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_37,Tech,Back-End Developer,task,Campaign Management (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_38,Tech,Back-End Developer,process,Facebook Business Manager (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_39,MKT,Reach Manager,task,Audiences,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_40,MKT,Reach Manager,task,Layout (marketing pod),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_41,MKT,Reach Manager,task,Events,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_42,MKT,Reach Manager,process,Campaign Management,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_44,Tech,Domain Specialist,task,Sub-domain design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_45,Tech,Back-End Developer,process,Linkedin (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_46,Tech,Back-End Developer,process,Instagram (HLK Data Governance),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_mkt_dtp_47,MKT,Reach Manager,process,SEO OnPage,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_mkt_dtp_48,MKT,Reach Manager,process,SEO OffPage,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_49,Tech,Back-End Developer,task,SEM,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_50,MKT,Reach Manager,process,Linkedin,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_51,MKT,Reach Manager,process,Instagram,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_tech_dtp_52,Tech,Front-End Developer,process,SEO as part of the Codebase,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_53,Tech,Back-End Developer,process,User management,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_56,Tech,Tech Lead,task,E-commerce Plugins,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_57,MKT,Account Management Manager,task,Mailchimp,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_58,MKT,Account Management Manager,task,Calendly,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_59,MKT,Brand & Narrative Manager,task,Newsletter,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_60,MKT,Brand & Narrative Manager,task,Animations,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_61,MKT,Reach Manager,task,A-Z Test (research process),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_62,MKT,Brand & Narrative Manager,task,Landing page design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_63,Tech,Back-End Developer,task,Facebook API,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_64,Tech,Back-End Developer,task,Google API,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_65,MKT,Brand & Narrative Manager,process,Voice (Brand Persona),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_66,MKT,Brand & Narrative Manager,process,Message (Brand Persona),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_67,MKT,Brand & Narrative Manager,task,Editorial Calendar,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_70,Tech,Tech Lead,process,Testing & CI/CD,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_ops_dtp_71,Operations,PMO,process,Delivery Management,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
tbd_tbd_dtp_73,Operations,PMO,process,Flow Design,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
tbd_tbd_dtp_74,Operations,PMO,task,Flow Parameter Input,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_75,Tech,Tech Lead,process,Merging branches,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_76,Data,Data Engineer,task,Create Relational Functions in SQL,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_77,Data,Data Governance Lead,process,Data Modeling,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_data_dtp_78,Data,Data Governance Lead,task,Column Types,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_79,Operations,PMO,task,Project charter,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_80,Tech,Back-End Developer,task,Supabase Client Onboarding,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_81,Tech,Front-End Developer,task,"New Entry Form UX&UI - (suitable for revenue, not included in ""e-commerce admin"")",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_82,Tech,Front-End Developer,task,"Contract Form UX&UI (suitable for revenue, not included in ""e-commerce admin"")",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_83,Tech,Front-End Developer,task,Expense Form UX&UI,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_84,Tech,Front-End Developer,task,Campaign Result Form (possible RPA) - UX&UI,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_85,Tech,Front-End Developer,task,"User Form for Generative AI - UX&UI (par is two use cases per modality, text, tts, stt, image, etc. Experimental is agent collaboration frameworks if placed on top of any of the former use cases)",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_86,Tech,Front-End Developer,task,"User Form for AI Agent collaboration frameworks - UX&UI - Experimental because of the market, especially if placed on top of any of our former AI use cases",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_87,Tech,Front-End Developer,task,User Form for RAG - UX&UI - (par is semantic chunking & semantic search. Semantic routing is experimental),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_88,Tech,Front-End Developer,task,User Form for GraphRAG - UX&UI - (par is semantic chunking & semantic search. Semantic routing is experimental),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_89,Tech,Front-End Developer,task,Form for Business Developer - UX&UI - (options & types),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_90,Tech,Front-End Developer,task,Form for e-commerce admin - products - UX&UI - (new/add/modify/delete),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_91,Tech,Front-End Developer,task,Form for e-commerce admin - pages - UX&UI - (new/add/modify/delete),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_92,Tech,Front-End Developer,task,Form for e-commerce admin - sales & payments - UX&UI - (new/add/modify/delete),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
env_tech_dtp_93,Tech,Front-End Developer,task,Form for e-commerce admin - customer & vendors - UX&UI - (new/add/modify/delete),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_94,Research,HUMINT Specialist,process,Enriched Interview,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_95,Research,HUMINT Specialist,process,Focus group,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_96,Operations,PMO,task,Meeting Preparation,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_97,Operations,PMO,process,List of Requirements,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_peopl_dtp_98,People,People Operations Lead,task,B2E Candidate Interview,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_99,Research,Lead Researcher,process,HxPESTAL,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_100,Research,Lead Researcher,process,Create Analogy,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_101,People,Compliance,process,Apply Policy Framework,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_102,People,Compliance,process,Rant Policy,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_opera_dtp_103,Operations,PMO,process,List Existing Use Cases,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_104,People,Compliance,process,Isolate Concept,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_105,People,Compliance,process,Declare Signifier,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_106,People,Compliance,process,Regression Definition and Techniques,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_107,Operations,PMO,process,Document,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_108,Operations,PMO,process,Design Process Flow,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_marke_dtp_109,Marketing,Brand & Narrative Manager,process,Identify Personal Discourse,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_110,Research,Lead Researcher,process,6 Ws,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_peopl_dtp_111,People,Compliance,process,Design MO,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_resea_dtp_112,Research,Lead Researcher,process,List Examples for Engage Project Charter,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_113,Operations,PMO,process,List Dependencies,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_114,People,Compliance,process,Terraform,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_115,People,Compliance,process,Sell,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_116,People,Compliance,process,Normalize,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_117,People,Compliance,process,Pacify,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_118,People,Compliance,process,Engage (Holistika Project Lifecycle),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
hol_peopl_dtp_119,People,Compliance,process,Hijack,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_120,Operations,PMO,process,Plan,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_121,Operations,PMO,process,List Objectives,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_122,Operations,PMO,process,List Deliverables,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_123,Operations,PMO,process,Define Success,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_124,Operations,PMO,process,List Success Metrics,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_finan_dtp_125,Finance,Business Controller,process,Budget Scope,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_finan_dtp_126,Finance,Business Controller,process,Pricing Definition,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_127,Operations,PMO,process,Define Stakeholders,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_128,Operations,PMO,process,Define Project Budget,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_129,Operations,PMO,process,Define Project Scope,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
tbd_tbd_dtp_130,Operations,PMO,process,Exploit (TBD),unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_peopl_dtp_131,People,People Operations Lead,process,Consult Hard-Skillers for Estimation,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_132,Operations,PMO,process,Time Estimations,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_133,Operations,PMO,task,Effort Estimations,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_134,Operations,PMO,task,Budget Estimations,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_135,Operations,PMO,task,Declare Min,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_136,Operations,PMO,task,Declare Par,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_opera_dtp_137,Operations,PMO,task,Declare Max,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
tbd_tbd_dtp_138,Operations,PMO,task,Identify Resistances,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
