entity_type,entity_label,ssot_path,archimate_aspect,zachman_cell,neo4j_label,owning_area,status,notes
artifact_class,Artifact-class,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/ARTIFACT_CLASS_REGISTRY.csv,passive_structure,what,,People,active,Artifact classification meta-type
output_type,Output-type,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/OUTPUT_TYPE_REGISTRY.csv,passive_structure,what,,People,active,Output taxonomy meta-type
substrate,Substrate,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SUBSTRATE_REGISTRY.csv,technology,what,,Tech,active,Technology substrate/object
source_fact,Source/Fact,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/source_taxonomy.md,passive_structure,what,,Research,active,Evidence source / fact in the intelligence matrix
touchpoint_kit_cell,Touchpoint-kit-cell,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/TOUCHPOINT_KIT_CELL_REGISTRY.csv,passive_structure,where,TouchpointKitCell,Marketing,active,Touchpoint kit cell
brand,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ARCHITECTURE.md,passive_structure,what,,Marketing,active,Brand / sub-mark; sub-marks specialize the brand (operator add 2026-06-05)
decision,Decision,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,motivation,why,,People,active,Governed decision; influences elements
policy,Policy,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/POLICY_REGISTER.csv,motivation,why,Policy,per-area,active,Policy; influences behavior
goal_poi,Goal/POI,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/GOI_POI_REGISTER.csv,motivation,why,,per-area,active,Goal / point of interest
audience,Audience,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AUDIENCE_REGISTRY.csv,motivation,who,,Marketing,active,Stakeholder audience
initiative,Initiative,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,implementation,when,,per-area,active,Initiative; roadmap unit
program,Program,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PROGRAM_REGISTRY.csv,implementation,when,Program,per-area,active,Program; aggregates initiatives
workstream,Workstream,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,implementation,when,,per-area,planned,Workstream between program and process (operator add 2026-06-05); SSOT TBD at build
ops_action,OPS action,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,implementation,when,,People,active,Operational action; influences initiatives
calendar_cadence,Calendar/Cadence,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/COUNTRY_WORK_CALENDAR.csv,time,when,,Operations,active,Calendar + process cadence_type
area,Area,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,strategy,where,,People,active,Bounded context; composes sub-areas + roles
data_contract,Data contract,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/DATA_CONTRACT_REGISTRY.csv,passive_structure,what,,Data,active,ODCS producer-consumer interface on a data surface; producer_process_id/consumer_area_ids/owner_role/data_surface FKs
data_product,Data product,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,passive_structure,what,,Data,planned,Federated domain data product = DATA-FAM umbrella; composed of per-surface data contracts
data_store,Data store,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md,technology,where,,Tech,active,Physical store/surface/tier: git T1 / Supabase T2 schemas / Neo4j T3 / FDW (data_surface enum)
data_model,Data model,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md,passive_structure,what,,Data,planned,DAMA conceptual/logical/physical; Pydantic per-CSV schemas (thi_data_dtp_77); dedicated SSOT forward-chartered
bi_consumer,BI consumer,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,active_structure,where,,Data,active,Analytics/UI surface (T1-T10: HLK-ERP/Metabase/Power BI/Langfuse/Neo4j explorer); component_id/data_surfaces FKs
adapter,Integration adapter,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/RPA_ADAPTER_REGISTRY.csv,active_structure,where,,Data,active,Integration/RPA adapter (Normalized Adapter Pattern); Stream A/B/C; owner_role/linked_sop FKs
data_catalog,Data catalog,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CATALOG_INTEGRATION_POSTURE.md,active_structure,where,,Data,planned,L3 tool projection (OpenMetadata/Purview); discovery+DQ UI over git SSOT; never overrides L1/L2
glossary_term,Glossary term,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CATALOG_INTEGRATION_POSTURE.md,passive_structure,what,,Data,planned,Business glossary term (DAMA Reference/Metadata); business-owned meaning; OpenMetadata glossary forward-chartered
application,Application,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/techops/COMPONENT_SERVICE_MATRIX.csv,active_structure,where,,Tech,active,Running system/ERP/UI: HLK-ERP (Next.js) + AKOS FastAPI control plane; composed of components
