counterparty_id,counterparty_type,display_name,service_category,billing_model,commercial_segment,revenue_model,role_owner,process_item_id,repo_slug,component_id,contract_doc_pointer,renewal_review_due,status,pci_phi_pii_scope,confidence_level,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
finops_runpod,vendor,RunPod Inc.,cloud_compute,usage,na,na,Business Controller,thi_finan_dtp_303,,,,,active,none,3,Active GPU compute (usage-based per-second billing for vLLM-hosted DeepSeek R1 70B + V3 + other self-hosted models per config/model-catalog.json). Evidence: scripts/gpu.py operator CLI + akos/runpod_provider.py + user-runpod MCP + config/openclaw.json.example pod registry + RUNPOD_API_KEY env var contract.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_at_pymes,vendor,AT-Pymes (Gestoria),legal,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,2026-12-31,active,pii,3,Active compliance bookkeeping floor (Layer A of FINOPS three-layer ownership posture per D-IH-81-P). EUR 250 pre-paid bundle covering months 0-12 per D-IH-89-L incorporation route (CIRCE via AT-Pymes + BBVA partnership; BBVA is AT-Pymes banking partner per operator Strand-2 clarification 2026-05-24 — preferential terms via partnership give operator much value for low price; see finops_bbva for banking-side counterparty). AT-Pymes also operates as a PAE (Punto de Atencion al Emprendedor) in the official Spanish CIRCE/PAE network per https://paeelectronico.es — that institutional standing partly explains why their bundled pricing covers more than market rate. Scope: monthly tax filings + autonomo societario quota + basic accounting hygiene + Modelo 036/037 + IRPF + IVA submissions. Renewal-or-replace decision lands at month 12. URL: https://atpymes.es,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_stripe,vendor,Stripe Inc.,payments,usage,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pci,3,Active payment processor (test/dev Account-Test environment per operator ratification 2026-05-23; production prep in flight). Supabase Stripe FDW configured (stripe_gtm_server per akos-holistika-operations.mdc Inventory-before-greenfield discipline). Webhook handler at supabase/functions/stripe-webhook-handler/ routes via metadata.hlk_billing_plane to either holistika_ops or kirbe schemas. Operator goal per b1-b ratification: full reconnaissance + monetary-substrate stand-up via Bundle B-1ext + Bundle B-2 to reach prod-ready posture before going live. Evidence: user-stripe MCP + supabase Stripe FDW + Initiative 19 finops.registered_fact charter + holistika_ops.stripe_customer_link.finops_counterparty_id FK target.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_cloudflare,vendor,Cloudflare Inc.,saas,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,2026-12-31,active,pii,3,Active multi-surface internet infrastructure substrate (operator Strand-2 clarification 2026-05-24: ISP/edge + domain registrar + DNS + CDN + Workers + R2 + observability for holistikaresearch.com and other governed domains). Tier breakdown by surface: DNS free; Workers paid usage; registrar at-cost; observability tier varies. Evidence: plugin-cloudflare-cloudflare-docs + plugin-cloudflare-cloudflare-observability + plugin-cloudflare-cloudflare-builds + plugin-cloudflare-cloudflare-bindings MCPs all configured; Cloudflare cursor skills (agents-sdk + building-mcp-server-on-cloudflare + workers-best-practices + wrangler + web-perf + sandbox-sdk + durable-objects). Caveat: per-surface billing breakdown deferred to live dashboard reconciliation; consolidated under one banner here for governance purposes.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_resend,vendor,Resend Inc.,saas,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active transactional email substrate (Resend API as outbound email per EMAIL_ADAPTER_REGISTRY.csv + react-email skill stack). Likely free tier (3000 emails/month / 100 emails/day) at current volume; Pro ($20/mo) ready when outbound scales. Evidence: plugin-resend-resend MCP configured; cursor skills (resend + resend-cli + react-email + email-best-practices + agent-email-inbox). Caveat: tier confirmation deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_twilio,vendor,Twilio Inc.,saas,usage,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active communications platform (SMS + Voice + WhatsApp + Verify + RCS + Conversational AI) per twilio-developer-kit cursor skill catalog (75+ skills across messaging + voice + verify + ConversationRelay + AI agents + compliance + SendGrid). Usage-based billing across all channels. Stake: significant future spend as outbound comms scales. Evidence: plugin-twilio-developer-kit-twilio-docs MCP. Caveat: current usage tier may be free trial or low-volume self-serve; tier confirmation deferred to live dashboard.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_cal_com,vendor,Cal.com Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active scheduling infrastructure per CHANNEL_TOUCHPOINT_REGISTRY.csv CHAN-CAL-SCHEDULE entry + SCHEDULING_ADAPTER_REGISTRY.csv canonical adapter coverage. Likely Teams or Pro tier given multi-user + integrations. Evidence: cursor rule akos-external-render-discipline.mdc §RULE 7 explicitly names Cal.com as ERP-class portal; SCHEDULING_ADAPTER_REGISTRY first-row consumer. Caveat: tier confirmation deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_figma,vendor,Figma Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active design substrate per FIGMA_FILES_REGISTRY.md (Initiative 29 P2 canonical registry of governed Figma files) + plugin-figma-figma MCP + complete figma-* cursor skill suite (figma-use + figma-generate-design + figma-generate-library + figma-code-connect + figma-create-new-file + figma-generate-diagram + figma-use-figjam + figma-use-slides). Likely Professional tier ($15/editor/mo) given multi-file governed registry + code-connect integration patterns. Evidence: ~14 governed files registered; Figma MCP active with 9+ tools.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_slack,vendor,Slack Technologies LLC (Salesforce),saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active team comms substrate per COMMUNICATION_ADAPTER_REGISTRY.csv + plugin-slack-slack MCP. Likely Pro tier or free-with-limits given current org size. Evidence: cursor MCP integration active; CHANNEL_TOUCHPOINT_REGISTRY potentially references future CHAN-SLACK-* entries. Stake: cross-area handoff lane per RevOps integration spine forward roadmap. Caveat: tier confirmation deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_langfuse,vendor,Langfuse GmbH,observability,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active LLM observability substrate: tracing + evaluation + prompt management for Madeira AIC + downstream agents. Evidence: user-langfuse + user-langfuse-docs MCPs configured. Likely free tier (50k observations/month) at current volume; Pro ($59/mo) ready when traces scale. Caveat: tier + actual usage deferred to live dashboard reconciliation.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_postman,vendor,Postman Inc.,productivity,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active API testing + workspace substrate. Evidence: user-postman_mcp_server MCP configured (operator-noted instructions resource: read completely before answering API questions). Likely free tier or Basic ($14/mo) given current single-user usage. Caveat: tier deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_miro,vendor,RealtimeBoard Inc. (Miro),saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,none,3,Active visual collaboration substrate: diagrams + tables + context extraction from boards. Evidence: plugin-miro-miro MCP + miro-mcp cursor skill. Likely free or Starter ($8/mo) tier at current usage. Stake: lower priority than Figma for design work; useful for ad-hoc brainstorming + diagram extraction. Caveat: tier deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_composio,vendor,Composio Inc.,saas,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active agent-tooling integrator: unified API surface across many SaaS tools for agentic workflows. Evidence: user-composio MCP configured. Caveat: usage + tier deferred to live dashboard; placeholder pii until integration patterns mature.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_neo4j,vendor,Neo4j Inc.,data_platform,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active graph data substrate: HLK Graph projection per scripts/sync_hlk_neo4j.py + scripts/hlk_graph_mcp_server.py + scripts/hlk_graph_explorer.py + static/hlk_graph_explorer.html (Initiative 07 projection). Evidence: user-neo4j-cypher + user-neo4j-memory MCPs configured; OVERLAY_HLK_GRAPH.md prompt tiering active. Likely AuraDB free tier or self-hosted at current volume; production tier upgrade if multi-user adoption grows. Caveat: deployment topology (Aura vs self-hosted vs both) deferred to operator confirmation.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_google_workspace,vendor,Google LLC (Workspace),productivity,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,2026-12-31,active,pii,3,Active operator productivity substrate: Gmail + Drive + Docs + Calendar attached to operator domain (likely holistikaresearch.com). Mirror governance for HLK Drive hierarchy per PRECEDENCE.md mirrored class. Likely Business Starter ($6/user/mo) or Business Standard ($12/user/mo) tier. Caveat: per-user tier + actual user count deferred to admin console confirmation.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_excalidraw,vendor,Excalidraw Inc. (Excalidraw+),saas,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,,active,none,3,Active OSS diagramming substrate (operator-named addition this batch per Strand-2 scope ratification 2026-05-24). Core Excalidraw is free MIT-licensed OSS; Excalidraw+ cloud tier ($6-$24/user/mo) adds team collaboration + portfolios + custom branding. Stake: complement to Figma for hand-drawn-style diagrams; lighter than Miro for quick sketches. Caveat: tier (free OSS only vs Excalidraw+) deferred to operator confirmation.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_shopify,vendor,Shopify Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active e-commerce platform substrate (operator-named addition this batch per Strand-2 scope ratification 2026-05-24). Evidence: user-shopify-dev-mcp + user-shopify-storefront-mcp MCPs configured + plugin-shopify-plugin cursor skills (75+ skills covering Admin GraphQL + Storefront + Hydrogen + Polaris + Functions + Liquid + Customer Account API + onboarding). Stake: likely Shopify Basic ($39/mo) or Shopify ($105/mo) tier for active storefront OR Partner/development tier if currently in dev only. Caveat: production storefront vs dev tier deferred to live billing.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
finops_bbva,vendor,Banco Bilbao Vizcaya Argentaria SA (BBVA),banking,mixed,na,na,Business Controller,thi_finan_dtp_303,,,,2026-12-31,active,pii,3,Active banking counterparty: business banking partner reached via AT-Pymes partnership per D-IH-89-L CIRCE incorporation route. Operator Strand-2 clarification 2026-05-24: BBVA is AT-Pymes partner — the partnership gives operator preferential terms (much value for low/no price). Service category = banking (newly added enum value per D-IH-81-Z; supports future bank counterparty rows). Scope: business current account + likely card + likely payment rails. Standard banking fees apply where applicable (FX + wire transfers + non-tier-included transactions); free tier covers normal operating activity via partnership. Renewal review trigger: AT-Pymes contract renewal at month 12 + BBVA terms-of-partnership review. See finops_at_pymes row for the gestoria-side relationship.,2026-05-24,Business Controller,D-IH-81-Z,v3.1
