type,orientation,entity,area,role_parent_1,role_owner,item_parent_2,item_parent_1,item_name,item_id,item_granularity,time_hours_par,description,instructions,addundum_extras,confidence,count_name,frequency,quality
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Activism,Nihilism (Passive vs Active vs Standard),gtm_madeira_dtp_4,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Activism,Neo-Acelerationism vs Acelerationsm,gtm_madeira_dtp_5,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Activism,Anti-AI movement. Why is it so divided?,gtm_madeira_dtp_6,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Activism,Prosumerism: Today consumers are Producers. Do they know that?,gtm_madeira_dtp_7,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Activism,Philosophers imply a crisis in basic logical assessment. Reasons,gtm_madeira_dtp_8,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Social,Analyze based on Marslow Pyramid,gtm_madeira_dtp_9,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Social,Identify generational gaps to identify multiple stances per group,gtm_madeira_dtp_10,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Social,Identify globally accepted Social Cultures,gtm_madeira_dtp_11,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Social,Tech B2E Employee situation (POV) vs Global B2E Employee situation (POV),gtm_madeira_dtp_12,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Social,AI Learning Curve may cause or increment social disparity,gtm_madeira_dtp_13,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,Technocrat Schism (Elon vs Silicon Valley),gtm_madeira_dtp_14,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,'We have No Moat over Open Source Communiy' Google Open Letter,gtm_madeira_dtp_15,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,Ex-Google CEO Eric Smidth's vision of the impact of AI in Society (especially Harvard Interview),gtm_madeira_dtp_16,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,Career to break through AGI and ASI,gtm_madeira_dtp_17,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,NVIDIA's end of programming vision and strategy,gtm_madeira_dtp_18,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,Cost reduction has produced free tools to debunk and disprove previously proven scientific statements giving rise to the current Academia Crisis,gtm_madeira_dtp_19,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Technology,Technology Nationalisation (and militarisation),gtm_madeira_dtp_20,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Legal,EU AI Act,gtm_madeira_dtp_21,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Legal,USA DOGE,gtm_madeira_dtp_22,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Legal,USA & EU Privacy and Security legislation review,gtm_madeira_dtp_23,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Economics,Trade Economy to design Global Macro-Investment Landscape scenario,gtm_madeira_dtp_24,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Economics,"Power of Adquisition - 10y analysis (Rent & GDP per Cápita, per Region)",gtm_madeira_dtp_25,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Economics,Massive drop in Tech Cost and Learning Curve,gtm_madeira_dtp_26,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Economics,Local Startup PORTER vs International Startup PORTER,gtm_madeira_dtp_27,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Economics,"A major unicorn startup's CEO regain control over its company, OpenAI, after initiating an internet-drama scenario with active coworkers (Oct 2023). Only for them to leave the company one year later. There were economic ripples at each stage of the scenario",gtm_madeira_dtp_28,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,Market Requirements Definition (H x PESTAL),gtm_madeira_dtp_29,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,Business Case (Business Engineer Only),gtm_madeira_dtp_30,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,Launch Plan (Process Engineer Only),gtm_madeira_dtp_31,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,Target Metrics (Data Governance),gtm_madeira_dtp_32,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,Pricing Strategy,gtm_madeira_dtp_33,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,"Product Positioning (PP) (should be answered separately for each source_group: 1.3, 2.3, 3.3, 4.3 & 5.3)",gtm_madeira_dtp_34,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,(PP) Define Audience,gtm_madeira_dtp_35,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Planning Phase,(PP) Core Messaging,gtm_madeira_dtp_36,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Sales Tools (For all orientations),Prospect Presentation,gtm_madeira_dtp_37,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Sales Tools (For all orientations),Demo,gtm_madeira_dtp_38,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Sales Tools (For all orientations),Competitive Positioning (PORTER),gtm_madeira_dtp_39,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Sales Tools (For all orientations),FAQs sheet & SOP,gtm_madeira_dtp_40,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Product Release,Alpha Release,gtm_madeira_dtp_41,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Product Release,Beta Release,gtm_madeira_dtp_42,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Product Release,General Availability,gtm_madeira_dtp_43,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Product Release,Press Gathering on each release (Channel/Content Strategy),gtm_madeira_dtp_44,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,Research Material,gtm_madeira_dtp_45,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,Manifiesto or Reason to Be/Believe,gtm_madeira_dtp_46,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,"Sketches (in any output, from 1 to 3)",gtm_madeira_dtp_47,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,1st Shareable Proof-Of-Concept (PoC),gtm_madeira_dtp_48,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,Initiate Sales Phase internally in the form of a UAT over PoC,gtm_madeira_dtp_49,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,PMO - Product Owner - Product Timeline / Proof-Of-Concept,CICD: Redo PoC and initiate Planning phase,gtm_madeira_dtp_50,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can Reason and Act (ReAct Agent),gtm_madeira_dtp_51,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can answer on an universal format (json) and any other,gtm_madeira_dtp_52,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can Remember (has Memory management),gtm_madeira_dtp_53,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can perform public and private search,gtm_madeira_dtp_54,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can use any API,gtm_madeira_dtp_55,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can use anything written in Python as a Tool,gtm_madeira_dtp_56,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can respect a hardcoded code-of-conduct (Compliance & AI Evaluation Benchmark),gtm_madeira_dtp_57,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can ingest any data source (see Readers list on Madeira Architecture),gtm_madeira_dtp_58,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Can handle Realtime and Streaming responses,gtm_madeira_dtp_59,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Text,Multilingual (+10 languages),gtm_madeira_dtp_60,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Can speak any text it receives on Realtime and Streaming,gtm_madeira_dtp_61,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Can speak on any tone (Fully customizable),gtm_madeira_dtp_62,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Can be sentient of what it is speaking and can improvise if required (Audio Intelligence + Persona),gtm_madeira_dtp_63,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Can return speech-to-text,gtm_madeira_dtp_64,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Can Infer (call an LLM) in between Text and Audio processing,gtm_madeira_dtp_65,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Multilingual (+10 languages),gtm_madeira_dtp_66,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Text-to-Speech,Inference can have the same capabilities as TTT,gtm_madeira_dtp_67,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Text,Can process audio on any mainstream format on Realtime and Streaming,gtm_madeira_dtp_68,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Text,Can Infer (call an LLM) in between Audio and Text processing,gtm_madeira_dtp_69,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Text,Inference can have the same capabilities as TTT,gtm_madeira_dtp_70,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Text,Multilingual (+10 languages),gtm_madeira_dtp_71,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Speech (Conversational AI),"Realtime Conversation (ElevenLabs, OpenAI Realtime)",gtm_madeira_dtp_72,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Speech-To-Speech (Conversational AI),Inference can have the same capabilities as TTT,gtm_madeira_dtp_73,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,Locally,gtm_madeira_dtp_74,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,Vercel,gtm_madeira_dtp_75,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,Azure,gtm_madeira_dtp_76,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,Google Cloud Console,gtm_madeira_dtp_77,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,Cloudify,gtm_madeira_dtp_78,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Deployable?,AWS,gtm_madeira_dtp_79,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,Mobile webapp,gtm_madeira_dtp_80,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,Desktop webapp,gtm_madeira_dtp_81,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,iOS native (Flutter + xCode Tools),gtm_madeira_dtp_82,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,Android native (Google Dev Tools),gtm_madeira_dtp_83,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,iPad webapp,gtm_madeira_dtp_84,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,Windows Native (Compiler),gtm_madeira_dtp_85,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,Linux,gtm_madeira_dtp_86,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,OSX Native (xCode),gtm_madeira_dtp_87,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Is Accessible?,"VR and IoT (Nvidia NIM, Azure Digital Twins, xCode, Meta...)",gtm_madeira_dtp_88,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Is Sentient,gtm_madeira_dtp_89,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Knows the Organisation and the user it serves,gtm_madeira_dtp_90,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Knows Compliance processes and how to use them (Has completed its AI Onboarding),gtm_madeira_dtp_91,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Has configurable Sentiment Analysis (Manual CICD),gtm_madeira_dtp_92,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Has Personality and self-awareness,gtm_madeira_dtp_93,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Has configurable Personality Traits (Manual CICD),gtm_madeira_dtp_94,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Has a Background and a Story,gtm_madeira_dtp_95,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - Capabilities & Persona / Persona,Has visual representation (avatar) and can use it in realtime,gtm_madeira_dtp_96,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Self,LLM Router (Currently only for manual switch),gtm_madeira_dtp_97,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Self,Personality Module,gtm_madeira_dtp_98,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Self,Evaluator,gtm_madeira_dtp_99,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Self,Madeira ReAct agent,gtm_madeira_dtp_100,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Self,Sync/Async Connection Pool (capable of handling Async and Sync calls simulteanously),gtm_madeira_dtp_101,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,KirBe (AI Archivist),gtm_madeira_dtp_102,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,Research Agent,gtm_madeira_dtp_103,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,Swarm Editor,gtm_madeira_dtp_104,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,Evaluator,gtm_madeira_dtp_105,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,Highway AI (Sync/Async Connection Pool ReAct Agent),gtm_madeira_dtp_106,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - MADEIRA Components / Colleagues,Code Engineer (to be used in a Sandbox that executes HighwayAI instructions),gtm_madeira_dtp_107,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - KirBe Components / Readers (Converts data to python object w/ json schema),Obsidian,gtm_madeira_dtp_108,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - KirBe Components / Readers (Converts data to python object w/ json schema),Markdown,gtm_madeira_dtp_109,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Product Owner - UX - KirBe Components / Readers (Converts data to python object w/ json schema),Node (Neo4j & Cypher Language),gtm_madeira_dtp_110,task,,,,,,,,
