component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00012,Airtable — Airtable,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00013,PowerPlatform — Microsoft,saas,active,HLK Tech Lab,Data,Data Governance Office,DATAOPS,,System Owner,,,partner,,low_code_rpa,,,,,,3,confidential,multi,standard,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_INTEGRATION_PLANE.md,n,POL-DATA-ENGAGEMENT-FACT,2026-06-04,matriz_componentes_xlsx,canonical Power Platform row; bi_tier=T8; engagement_stream=A; RPA_ADAPTER power_platform
comp_matriz_00014,Streamlit — Streamlit,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase
comp_matriz_00015,Vercel — Vercel,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase
comp_matriz_00016,HuggingFace — HuggingFace,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase
comp_matriz_00017,xCode — Apple,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=appTVOS
comp_matriz_00018,Microsoft Azure — Microsoft,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Cloud
comp_matriz_00019,Google Cloud Console — Google,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Cloud
comp_matriz_00020,Microsoft Azure — Microsft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Cloud
comp_matriz_00021,Google Workspace — Google,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Cloud
comp_matriz_00022,iCloud — Apple,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Cloud
comp_matriz_00023,Github — GitHub,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Cloud
comp_matriz_00024,Gradio — Gradio,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase
comp_matriz_00025,Docker — Docker,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebbase
comp_matriz_00026,Github — GitHub (sheet row 26),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Code
comp_matriz_00027,Replit — Replit,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Code
comp_matriz_00028,Jupyter Notebook — Jupyter,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=IDE; subcategory=Code
comp_matriz_00029,Anaconda — Anaconda,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00030,Runpod — Runpod,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00031,xCode — Apple (sheet row 31),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=iOS
comp_matriz_00032,Docker — Docker (sheet row 32),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Linux
comp_matriz_00033,Runpod — Runpod (sheet row 33),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Linux
comp_matriz_00034,Microsoft Azure — Microsft (sheet row 34),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Linux
comp_matriz_00035,HuggingFace — HuggingFace (sheet row 35),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Linux
comp_matriz_00036,HuggingFace — HuggingFace (sheet row 36),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=LLM
comp_matriz_00037,Microsoft Azure — Microsoft (sheet row 37),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=MacOS
comp_matriz_00038,xCode — Apple (sheet row 38),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=MacOS
comp_matriz_00039,xCode — Apple (sheet row 39),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=MacOS
comp_matriz_00040,Office365 — Microsoft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=No SQL
comp_matriz_00041,Google Workspace — Google (sheet row 41),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Office Automation
comp_matriz_00042,Microsoft Power Platform — Microsoft,saas,active,HLK Tech Lab,Data,Data Governance Office,DATAOPS,,System Owner,,,none,,n_a,,comp_matriz_00013,,,,3,confidential,multi,standard,,,n,POL-DATA-ENGAGEMENT-FACT,2026-06-04,matriz_componentes_xlsx,alias_of=comp_matriz_00013; consolidate duplicate; engagement_stream=A
comp_matriz_00043,ButterCup — ButterCup (sheet row 43),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Password Manager
comp_matriz_00044,Microsoft Azure — Microsft (sheet row 44),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Password Manager
comp_matriz_00045,Discord — Amazon,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00046,Google Cloud Console — Google (sheet row 46),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00047,Microsoft Azure — Microsft (sheet row 47),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00048,Supabase — Supabase (sheet row 48),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00049,Salesforce y/o SAP — Infraestructure as a Service,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=SaaS; subcategory=Software as a Service; description=Hosting as a Service
comp_matriz_00050,HuggingFace — HuggingFace (sheet row 50),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00051,Microsoft Azure — Microsft (sheet row 51),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00052,Supabase — Supabase (sheet row 52),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=PostgreSQL
comp_matriz_00053,Supabase — Supabase (sheet row 53),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Protocolo S3
comp_matriz_00054,Supabase — Supabase (sheet row 54),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00055,Airtable — Airtable (sheet row 55),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL Hybrid
comp_matriz_00056,Google Workspace — Google (sheet row 56),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL Hybrid
comp_matriz_00057,Postman — Postman (sheet row 57),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00058,OpenAI — OpenAI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=AI; subcategory=Multimodal LLM
comp_matriz_00059,OpenAI Access Manager — OpenAI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00060,Google Cloud Console — Google (sheet row 60),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00061,Microsoft Azure — Microsft (sheet row 61),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00062,xCode — Apple (sheet row 62),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=WatchOS
comp_matriz_00063,HuggingFace — HuggingFace (sheet row 63),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
comp_matriz_00064,Vercel — Vercel (sheet row 64),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
comp_matriz_00065,Vercel — Vercel (sheet row 65),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
comp_matriz_00066,Microsoft Azure — Microsoft (sheet row 66),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Windows
comp_matriz_00067,Google Workspace — Google (sheet row 67),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00068,Cursor — Cursor,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00069,Microsoft Store — Microsoft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00070,Jupyter — Jupyter,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00071,Anaconda — Anaconda (sheet row 71),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00072,Discord — Amazon (sheet row 72),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Communication
comp_matriz_00073,Discord — Amazon (sheet row 73),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Communication
comp_matriz_00074,Microsoft Azure — Microsoft (sheet row 74),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DataOPS
comp_matriz_00075,PowerPlatform — Microsoft (sheet row 75),saas,active,HLK Tech Lab,Data,Data Governance Office,DATAOPS,,System Owner,,,none,,n_a,,comp_matriz_00013,,,,3,internal,multi,standard,,,n,POL-DATA-MIRROR-OPERATIONAL,2026-06-04,matriz_componentes_xlsx,alias_of=comp_matriz_00013; duplicate consolidated I93 P5b
comp_matriz_00076,Microsoft Azure — Microsoft (sheet row 76),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DevOPS
comp_matriz_00077,Microsoft Azure — Microsoft (sheet row 77),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DevOPS
comp_matriz_00078,Excalidraw — Excalidraw,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 1
comp_matriz_00079,Airtable — Airtable (sheet row 79),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 3
comp_matriz_00080,Google Workspace — Google (sheet row 80),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 3
comp_matriz_00081,PowerPlatform — Microsoft (sheet row 81),saas,active,HLK Tech Lab,Data,Data Governance Office,DATAOPS,,System Owner,,,none,,n_a,,comp_matriz_00013,,,,3,internal,multi,standard,,,n,POL-DATA-MIRROR-OPERATIONAL,2026-06-04,matriz_componentes_xlsx,alias_of=comp_matriz_00013; duplicate consolidated I93 P5b
comp_matriz_00082,Figma — Figma,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 1
comp_matriz_00083,<Forcasting Tool> — TBD,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Finance Ops
comp_matriz_00084,<Lead Tool> — TBD,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Lead Management
comp_matriz_00085,Stripe Payments — Stripe,other,active,HLK Tech Lab,Tech,System Owner,FINOPS,,System Owner,,,none,,n_a,,,,,,3,confidential,multi,standard,,,n,POL-DATA-ENGAGEMENT-FACT,2026-04-20,matriz_componentes_xlsx,category=Finance Ops; subcategory=Invoicing
comp_matriz_00086,GoDaddy — GoDaddy,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Domain
