source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-INF-INT-001,BL-ADAPTER,data-mesh-products,REVOPS ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/dimensions/REVOPS_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-020,BL-COMPLY,dama-dmbok,CANONICAL RELATIONSHIP REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/CANONICAL_RELATIONSHIP_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-021,BL-DATA,dama-dmbok,METRICS REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/METRICS_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-022,BL-DATA,dama-dmbok,SOP DATA CONTRACT REGISTRY MAINTENANCE 001,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_CONTRACT_REGISTRY_MAINTENANCE_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-023,BL-ENVOY,agentic-context-economics,MADEIRA PERSISTENCE VEHICLE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/dimensions/MADEIRA_PERSISTENCE_VEHICLE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-024,BL-ENVOY,agentic-context-economics,SOP MADEIRA REVOPS HANDOFF 001,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/SOP-MADEIRA_REVOPS_HANDOFF_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-025,BL-ETHICS,holistika-corpint,PEOPLE COMPLIANCE VS ETHICS BOUNDARY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/PEOPLE_COMPLIANCE_VS_ETHICS_BOUNDARY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ETHICS; holistika-corpint ingest
SRC-INF-INT-026,BL-FIN,finops-economics,FINOPS PERFORMANCE OBLIGATION REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Finance/Governance/canonicals/dimensions/FINOPS_PERFORMANCE_OBLIGATION_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-027,BL-FIN,finops-economics,FINOPS TAX CALENDAR,docs/references/hlk/v3.0/Admin/O5-1/Finance/Governance/canonicals/dimensions/FINOPS_TAX_CALENDAR.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-028,BL-FIN,finops-economics,PRICING TIER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Finance/Governance/canonicals/dimensions/PRICING_TIER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-029,BL-MKT,km-moat,BRAND COBRANDING PATTERN,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_COBRANDING_PATTERN.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-030,BL-MKT,km-moat,BRAND MULTILINGUAL CONTRACT,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_MULTILINGUAL_CONTRACT.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-031,BL-MKT,km-moat,BRAND TEMPLATE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_TEMPLATE_REGISTRY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-032,BL-MKT,km-moat,SOP BRAND TEMPLATE REGISTRY MTNCE 001,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/SOP-BRAND_TEMPLATE_REGISTRY_MTNCE_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-033,BL-COMPLY,dama-dmbok,DECISION REGISTER,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,dataset,CORPINT,5.3,4,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-034,BL-COMPLY,dama-dmbok,REPOSITORY REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/REPOSITORY_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-035,BL-COMPLY,dama-dmbok,AIC REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AIC_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-036,BL-COMPLY,dama-dmbok,ARTIFACT CLASS REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/ARTIFACT_CLASS_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-037,BL-COMPLY,dama-dmbok,AUDIENCE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AUDIENCE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-038,BL-COMPLY,dama-dmbok,CAPABILITY CONFIDENCE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_CONFIDENCE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-039,BL-COMPLY,dama-dmbok,CAPABILITY REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-040,BL-COMPLY,dama-dmbok,CHANNEL TOUCHPOINT REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CHANNEL_TOUCHPOINT_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-041,BL-COMPLY,dama-dmbok,COMPONENT PRIMITIVE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/COMPONENT_PRIMITIVE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-042,BL-DATA,dama-dmbok,BI CONSUMER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-043,BL-ENVOY,agentic-context-economics,SOP MADEIRA UX REVIEW 001,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-MADEIRA_UX_REVIEW_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-044,BL-FIN,finops-economics,FINOPS REVENUE RECOGNITION POLICY,docs/references/hlk/v3.0/Admin/O5-1/Finance/Business Controller/canonicals/FINOPS_REVENUE_RECOGNITION_POLICY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-045,BL-FIN,finops-economics,COLLABORATOR SHARE DOCTRINE,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COLLABORATOR_SHARE_DOCTRINE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-046,BL-FIN,finops-economics,SOP PEOPLE COLLABORATOR SHARE 001,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_COLLABORATOR_SHARE_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-047,BL-OPS,revops-value-map,ENGAGEMENT TEMPLATE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/dimensions/ENGAGEMENT_TEMPLATE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-OPS; holistika-corpint ingest
SRC-INF-INT-048,BL-RESEARCH,infonomics-core,INTELLIGENCEOPS REGISTER,docs/references/hlk/v3.0/Research/Intelligence/canonicals/dimensions/INTELLIGENCEOPS_REGISTER.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-RESEARCH; holistika-corpint ingest
SRC-INF-INT-049,BL-UX,area-maturity-bar,BRAND GANTT DISCIPLINE,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/UX Designer/canonicals/BRAND_GANTT_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-UX; holistika-corpint ingest
SRC-INF-INT-050,BL-UX,area-maturity-bar,UX DISCIPLINE,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/UX Designer/canonicals/UX_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-UX; holistika-corpint ingest
SRC-INF-INT-051,BL-DATA,dama-dmbok,SUPABASE CRON REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_CRON_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-052,BL-DATA,dama-dmbok,SUPABASE EDGE FUNCTION REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_EDGE_FUNCTION_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-053,BL-DATA,dama-dmbok,SUPABASE MODULE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_MODULE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-054,BL-DATA,dama-dmbok,DATA CONTRACT STANDARD,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CONTRACT_STANDARD.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-055,BL-DATA,dama-dmbok,DATA GOVERNANCE POLICY,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_GOVERNANCE_POLICY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-056,BL-DATA,dama-dmbok,SOP DATA SEMANTIC COUNCIL 001,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_SEMANTIC_COUNCIL_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-057,BL-DATA,dama-dmbok,SSOT REGISTRY AUDIT DISCIPLINE,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SSOT_REGISTRY_AUDIT_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-058,BL-ENVOY,agentic-context-economics,MADEIRA TOOL RBAC,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/dimensions/MADEIRA_TOOL_RBAC.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-059,BL-ENVOY,agentic-context-economics,RENDERING PIPELINE REGISTRY,docs/references/hlk/v3.0/Envoy Tech Lab/canonicals/dimensions/RENDERING_PIPELINE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-060,BL-ETHICS,holistika-corpint,ETHICAL AGENTIC BOUNDARIES,docs/references/hlk/v3.0/Admin/O5-1/People/Ethics/canonicals/ETHICAL_AGENTIC_BOUNDARIES.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ETHICS; holistika-corpint ingest
SRC-INF-INT-061,BL-ETHICS,holistika-corpint,SOP ETHICS LEARNING REVIEW 001,docs/references/hlk/v3.0/Admin/O5-1/People/Ethics/canonicals/SOP-ETHICS_LEARNING_REVIEW_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ETHICS; holistika-corpint ingest
SRC-INF-INT-062,BL-FIN,finops-economics,SOP FINOPS BRIDGE 001,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/SOP-FINOPS_BRIDGE_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-063,BL-LEGAL,legal-ip-data,SOP LEGAL TEMPLATE FIRE 001,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/SOP-LEGAL_TEMPLATE_FIRE_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-LEGAL; holistika-corpint ingest
SRC-INF-INT-064,BL-LEGAL,legal-ip-data,BRAND HIERARCHY AND TRADEMARK SCOPE 2026 04,docs/references/hlk/v3.0/Admin/O5-1/People/Legal/canonicals/BRAND_HIERARCHY_AND_TRADEMARK_SCOPE_2026-04.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-LEGAL; holistika-corpint ingest
SRC-INF-INT-065,BL-LEGAL,legal-ip-data,FOUNDER ENTITY FORMATION DECISION MEMO 2026 04,docs/references/hlk/v3.0/Admin/O5-1/People/Legal/canonicals/FOUNDER_ENTITY_FORMATION_DECISION_MEMO_2026-04.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-LEGAL; holistika-corpint ingest
SRC-INF-INT-066,BL-MKT,km-moat,BRAND AV CHARTER,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/AV/canonicals/BRAND_AV_CHARTER.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-067,BL-MKT,km-moat,BRAND COPYWRITING DISCIPLINE,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/Copywriter/canonicals/BRAND_COPYWRITING_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-068,BL-MKT,km-moat,BRAND DESIGN CHARTER,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/Design/canonicals/BRAND_DESIGN_CHARTER.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-069,BL-MKT,km-moat,BRAND ABBREVIATIONS,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ABBREVIATIONS.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-070,BL-MKT,km-moat,BRAND ARCHITECTURE,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ARCHITECTURE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-071,BL-MKT,km-moat,BRAND BASELINE REALITY MATRIX,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_BASELINE_REALITY_MATRIX.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-072,BL-MKT,km-moat,BRAND DISCIPLINE ONTOLOGY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_DISCIPLINE_ONTOLOGY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-073,BL-MKT,km-moat,BRAND DO DONT,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_DO_DONT.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-074,BL-MKT,km-moat,BRAND ENGLISH PATTERNS,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ENGLISH_PATTERNS.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-075,BL-MKT,km-moat,BRAND FRENCH PATTERNS,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_FRENCH_PATTERNS.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-076,BL-OPS,revops-value-map,REVOPS AREA CHARTER,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/REVOPS_AREA_CHARTER.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-OPS; holistika-corpint ingest
SRC-INF-INT-077,BL-OPS,revops-value-map,REVOPS PROCESS CATALOG,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/REVOPS_PROCESS_CATALOG.yaml,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-OPS; holistika-corpint ingest
SRC-INF-INT-078,BL-OPS,revops-value-map,SOP REVENUE ROLLUP 001,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/SOP-REVENUE_ROLLUP_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-OPS; holistika-corpint ingest
SRC-INF-INT-079,BL-OPS,revops-value-map,SOP REVOPS MEDIA REVIEW 001,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/SOP-REVOPS_MEDIA_REVIEW_001.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-OPS; holistika-corpint ingest
