initiative_id,repo_slug,folder_path,title,status,cycle_id,owner_role,inception_date,last_review,closed_at,archived_at,superseded_by,continuous_rationale,cadence,gated_on,operator_action,inception_decision_id,closure_decision_id,manifests_processes,linked_topic_ids,program_anchors,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
INIT-OPENCLAW_AKOS-19,openclaw-akos,docs/wip/planning/19-hlk-finops-ledger/,Initiative 19 — FINOPS finops.* ledger (Phase C),program_line,,PMO,,2026-04-23,,,,,event_driven,,,,,,,PRJ-HOL-FIN-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-20,openclaw-akos,docs/wip/planning/20-kalavai-shadow-llamacpp-trial/,Initiative 20 — Kalavai trial closure + ShadowGPU /v1-compatible llamacpp endpoint,archived,,PMO,,2026-05-05,,2026-05-05,INIT-OPENCLAW_AKOS-58,,,,,,,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-21,openclaw-akos,docs/wip/planning/21-hlk-adviser-engagement-and-goipoi/,Initiative 21 — Adviser Engagement plane + GOI/POI dimension,closed,,PMO,,2026-04-28,2026-04-28,,,,,,,,D-IH-21-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-22,openclaw-akos,docs/wip/planning/22-hlk-scalability-and-i21-closures/,Initiative 22 — Scalable HLK hierarchy + Initiative 21 closures,closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-22-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-22A,openclaw-akos,docs/wip/planning/22a-i22-post-closure-followups/,Initiative 22a — Post-closure follow-ups + Wave-2 bootstrap,closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-OPS-1,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-23,openclaw-akos,docs/wip/planning/23-hlk-program-registry-and-program-2/,Initiative 23 — Program Registry + Onboarding Program 2,closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-23-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-24,openclaw-akos,docs/wip/planning/24-hlk-communication-methodology/,Initiative 24 — Communication Methodology + Eloquence-Layer Composer,active,,PMO,,2026-05-17,,,,,,,,,,,,PRJ-HOL-MKT-2026,Promoted active per D-IH-86-G (gated_operator lifted at registry layer for execution visibility). Plan-local YAML Sections 2/3/5 + G-24-3 send checklist remain operator-owned per Initiative 24 roadmap.,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-25,openclaw-akos,docs/wip/planning/25-hlk-topic-graph-and-km-scalability/,Initiative 25 — Topic Graph + Graph Projection + KM Scalability,closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-25-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-26,openclaw-akos,docs/wip/planning/26-hlk-ops-hardening/,Initiative 26 — Operations hardening (small ops items + persistent triggers),closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-26-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-28,openclaw-akos,docs/wip/planning/28-investor-style-company-dossier/,Initiative 28 — Investor-Style Holistika Company Dossier,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-28-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-29,openclaw-akos,docs/wip/planning/29-multi-phase-consolidation/,Initiative 29 — Multi-phase consolidation — governance bridges + deck/strategy SSOT,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-29-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-30,openclaw-akos,docs/wip/planning/30-deck-moat-surgery/,Initiative 30 — Deck Moat Surgery — governance-grade deck intelligence,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-30-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-31,openclaw-akos,docs/wip/planning/31-holistik-ops-discovery/,Initiative 31 — Holistik Ops Discovery: 6-axis operating system for human interactions,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-31-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-32,openclaw-akos,docs/wip/planning/32-holistik-ops-maturation/,Initiative 32 — Holistik Ops Maturation (enterprise-ready doctrine -> SSOT -> MCP),closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-32-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-45,openclaw-akos,docs/wip/planning/45-live-eval-harness/,Initiative 45 — Live Eval Harness Modernisation,closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-45-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-46,openclaw-akos,docs/wip/planning/46-neo4j-strategic-posture/,Initiative 46 — Neo4j Strategic Posture: doctrine + GraphRAG PoC + agent memory ADR,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-46-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-47,openclaw-akos,docs/wip/planning/47-user-centric-uat/,Initiative 47 — User-centric UAT modernisation,closed,,PMO,,2026-05-02,2026-05-02,,,,,,,,D-IH-47-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-48,openclaw-akos,docs/wip/planning/48-operator-dossier/,Initiative 48 — Operator-facing UAT Dossier,closed,,PMO,,2026-05-02,2026-05-02,,,,,,,,D-IH-48-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-49,openclaw-akos,docs/wip/planning/49-madeira-management-rollup/,Initiative 49 — MADEIRA management and verdict rollup,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-49-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-50,openclaw-akos,docs/wip/planning/50-live-cycle-closure/,Initiative 50 — Live cycle closure + cost SSOT truth-up,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-50-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-51,openclaw-akos,docs/wip/planning/51-persona-calibration-cleanup/,Initiative 51 — Persona calibration cleanup,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-51-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-52,openclaw-akos,docs/wip/planning/52-multi-model-judge-and-cost-discipline/,Initiative 52 — Multi-model judge roster + live calibration burn + endpoint cost truth-up,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-52-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-53,openclaw-akos,docs/wip/planning/53-graphrag-poc-closure/,Initiative 53 — GraphRAG PoC closure,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-53-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-54,openclaw-akos,docs/wip/planning/54-surface-test-hardening/,Initiative 54 — Surface test hardening,closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-54-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-55,openclaw-akos,docs/wip/planning/55-brand-ops-continuous-loop/,Initiative 55 — Brand Ops Continuous Loop (Adviser updates -> regression gates),continuous,,PMO,,2026-05-03,,,,Per D-IH-55-F: tooling ships but the initiative intentionally has no fixed end date — runs as a regression-to-advisor loop.,,,,,,,,PRJ-HOL-MKT-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-56,openclaw-akos,docs/wip/planning/56-first-response-cycle/,Initiative 56 — First-response cycle (Adviser engagement operationalisation),active,,PMO,,2026-05-17,,,,,,,,,,,,PRJ-HOL-OPS-2026;PRJ-HOL-LEG-2026,Promoted active per D-IH-86-G (gated_external lifted at registry layer). Adviser reply sequencing remains OPS-56-1 / master-roadmap discipline.,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-57,openclaw-akos,docs/wip/planning/57-cycle-closeout-live-validation/,Initiative 57 — Cycle closeout + live validation forward,closed,CYC-57,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-57-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-58,openclaw-akos,docs/wip/planning/58-cycle-2-multi-track-forward/,Initiative 58 — Cycle 2 multi-track forward,closed,CYC-58,PMO,,2026-05-06,2026-05-06,,,,,,,,D-IH-58-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-59,openclaw-akos,docs/wip/planning/59-hlk-governance-clean-slate/,Initiative 59 — HLK governance promotion + clean slate cycle,closed,CYC-59,PMO,,2026-05-06,2026-05-06,,,,,,,,D-IH-59-N,,,,P0-P10 all landed 2026-05-06; 5 new HLK dimensions + 2 SOPs + status taxonomy + operator inbox + freshness canary + OPS-58-3 fix + telemetry routine + process harmonisation proposal,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-62,openclaw-akos,docs/wip/planning/62-mission-control/,Initiative 62 — MADEIRA Mission Control on hlk-erp,closed,,System Owner,2026-05-06,2026-05-19,2026-05-19,,,,,,,,D-IH-86-AK,,,PRJ-HOL-INF-2026;PRJ-HOL-PGF-2026,Mission Control magnificent ERP shell on hlk-erp; sibling to I63+I64+I65; P0-P10 charter+build; Supabase migrations P1+P3 applied 2026-05-07 (P2 deferred — see reports/migration-application-2026-05-07.md). CLOSED 2026-05-19 per D-IH-86-AK (Wave I L66 Q5=A): UAT 2026-05-06 + 5/6 SQL views applied = closure evidence; ERP UI mocked-data forward-chartered to I-NN-MISSION-CONTROL-UI candidate (separate scope; NOT I62).,2026-05-19,System Owner,D-IH-86-AK,v3.1
INIT-OPENCLAW_AKOS-63,openclaw-akos,docs/wip/planning/63-external-repo-governance-codification/,Initiative 63 — External Repo Governance Codification,active,,DevOPS,2026-05-06,2026-05-07,,,,,,,,,,,,PRJ-HOL-INF-2026;PRJ-HOL-PGF-2026,External Repo Bless Pattern + 3 active SOPs; canonical CSVs + 9 automation scripts; secrets walkthrough operated via MCPs 2026-05-07 (D-IH-63-G),2026-05-17,DevOPS,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-64,openclaw-akos,docs/wip/planning/64-governance-mission-control/,Initiative 64 — Governance Mission Control on hlk-erp,active,,System Owner,2026-05-07,2026-05-07,,,,,,,,,,,,PRJ-HOL-PGF-2026;PRJ-HOL-INF-2026,Governance dashboard for external-repo bless health (sibling to I62 Mission Control); v2 page-spec promoted 2026-05-07 with 5 user journeys + impeccable laws,2026-05-17,System Owner,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-65,openclaw-akos,docs/wip/planning/65-akos-planning-workspace-panel/,Initiative 65 — AKOS Planning Workspace Panel,closed,,System Owner,2026-05-07,2026-05-20,2026-05-20,,,,,,,,D-IH-86-AT,,,PRJ-HOL-PGF-2026;PRJ-HOL-INF-2026,Closed at I86 Wave J: P3+P4 land at hlk-erp 398d9db + AKOS 62ea95a; Vercel hotfix ec3f883 (D-IH-86-AT) recovers from server-only-import deploy regression; closure UAT reworked to Quality Fabric 5-of-7 bar (closure+brand+render+regression+deploy classes PASS-WITH-FOLLOWUP),2026-05-20,System Owner,D-IH-86-AT,v3.1
INIT-OPENCLAW_AKOS-66,openclaw-akos,docs/wip/planning/66-brand-vision-ops-sweep/,Initiative 66 - Brand Vision Ops Sweep,closed,,Brand & Narrative Manager,2026-05-08,2026-05-09,2026-05-09,,,,,,,,D-IH-66-CLOSURE,,,,Branded House codification + 6 new BRAND_* canonicals + drift gates + 17 active SOPs + trademark filing strategy + public surfaces + 6 decks + I67 RevOps Discovery scaffold; closed after P0-P8 verification,2026-05-15,Brand & Narrative Manager,D-IH-72-AO,v3.0
INIT-OPENCLAW_AKOS-67,openclaw-akos,docs/wip/planning/67-revops-discovery/,Initiative 67 - RevOps Discovery,active,,Brand & Narrative Manager,2026-05-09,2026-05-17,,,,,,,,D-IH-66-T,,,,PRJ-HOL-MKT-2026;PRJ-HOL-OPS-2026,Research-first successor to I66; investigates positioning channels offers pricing partner economics tooling KPIs and route promotion before any implementation plan. Promoted active per D-IH-86-G (gated_operator lifted at registry layer); interview brief cadence stays plan-local.,2026-05-17,Brand & Narrative Manager,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-68,openclaw-akos,docs/wip/planning/68-cicd-discipline-and-observability-maturity/,Initiative 68 - CICD Discipline + Observability Maturity + InfraMonitor v0,active,,System Owner,2026-05-09,2026-05-10,,,,,,,Approve P5 canonical CSV gate when reached (REPOSITORY_REGISTRY +3 cols + 3 process_list env_tech_* rows + SOP-CICD_BASELINE_001 v0.9.0),D-IH-66-AC,,,,PRJ-HOL-INF-2026,CICD discipline + visual regression + Sentry deploy-health telemetry + GitHub Actions/Vercel/Render CI baseline + build-time discipline + InfraMonitor v0 namespace shell with InfraHealth as first module (D-IH-68-K reframe); promoted active 2026-05-10 with I66 closed + Render MCP unblocked + Round-2 plan accepted; 4 explicit operator pause-points (P0 promotion,2026-05-17,System Owner,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-70,openclaw-akos,docs/wip/planning/70-holistika-os-self-governance/,Holistika OS Self-Governance Foundation,closed,,PMO,2026-05-12,2026-05-13,2026-05-13,,,,,,Phase 8 section 8.7 inline-ratify gate via AskQuestion (GOI class regression hunt); Phase 9 section 9.8 inline-ratify gate (temp migration matrix); Phase 11 closing UAT across 17 phases,D-IH-70-A,D-IH-70-CLOSURE,,,,Master initiative I70: 17 phases (Phase 0 through Phase 11 with sub-phases 4.5/4.6/4.7/4.8 + 10.5) + 1 pre-phase prep step. Federated SSOT architecture; brand sub-discipline governance; multilingual engagement contract; ERP architecture; Research as new top-level area; Marketing M3 redesign; People restructure; SMO active charter; founder methodology versioning v0 to v3.0. Authoritative plan: .cursor/plans/holistika_os_self-governance_foundation_63841b81.plan.md. Closed 2026-05-13 per D-IH-70-CLOSURE (annotated git tag v3.1 deferred pending release-taxonomy ratification).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-71,openclaw-akos,docs/wip/planning/71-cicd-discipline-and-aiops-baseline-maturity/,CI/CD Discipline and AIOps Baseline Maturity,closed,,PMO,2026-05-13,2026-05-14,2026-05-14,,,,,,Absorbs I70-deferred validator packs (P5/P6/P7/P10) and Strand B AIOps baseline per D-IH-71-A/B; charter ratified D-IH-71-C. Pack A1 (brand voice register expansion) SHIPPED 2026-05-14 per D-IH-71-F..K (10-layer chassis + Round 3 brand-DNA Layers 5-9). P2 SHIPPED 2026-05-14: Packs A2 + A3 + Addition 11 + Tier 1 Vale sibling per D-IH-71-L..O. P3 SHIPPED 2026-05-14: SOP-RELEASE_TAXONOMY_001 + customer-invisible versioning posture per D-IH-71-P; OPS-71-2 closed. P4 SHIPPED 2026-05-14: Strand C2 review-stamp dimension column-extension on 4 mirrored canonicals + validate_review_stamps freshness validator + REVIEW_STAMP_INBOX sidecar + ERP freshness-dashboard panel slot reserved per D-IH-71-Q; OPS-71-3 closed. P4-followup SHIPPED 2026-05-14 per D-IH-71-R: review-stamp 4-column shape expanded to 17 additional mirrored compliance.* canonicals (column-extension) + Artifact subject class shipped via compliance.review_stamps_standalone table (RLS service_role-only) + validate_review_stamps now covers 21 surfaces + Artifact scan; OPS-71-3 stays CLOSED at follow-up (no state change). P5 SHIPPED 2026-05-14: Pack A4 render-ownership coverage + Strand B observability hardening (MCP smoke + WORKSPACE §18 8 per-CI-gate rows per C-71-5 default) per D-IH-71-S + D-IH-71-T. P6 SHIPPED 2026-05-14 (CLOSING): UAT bands A-D PASS operator-blanket-trust self-verification; v3.1.0 annotated tag cut per C-71-3 HOLD verdict (ratified at P3 via D-IH-71-P); bulk review-stamp backfill across 22 surfaces clears 1716 missing-stamp info advisories. INITIATIVE CLOSED 2026-05-14 with closure_decision_id D-IH-71-CLOSURE.,D-IH-71-C,D-IH-71-CLOSURE,,,,Master roadmap + WORKSPACE_BLUEPRINT section 18 observability routing. Sibling to I68 (consumer CI / InfraMonitor). Execution P1-P6 per master-roadmap. P1 Pack A1 ratified 2026-05-14. P2 Packs A2 + A3 + Addition 11 + Tier 1 Vale SHIPPED 2026-05-14. P3 Strand C1 release-taxonomy SOP SHIPPED 2026-05-14. P4 Strand C2 review-stamp dimension SHIPPED 2026-05-14 + P4-followup (D-IH-71-R) SHIPPED 2026-05-14 (review-stamp expanded to 17 additional mirrors + Artifact standalone-table; P5 SHIPPED 2026-05-14 per D-IH-71-S + D-IH-71-T: Pack A4 (render ownership; closes validator-pack quartet A1+A2+A3+A4) + Strand B hardening (MCP smoke advisory + WORKSPACE §18 expanded to 8 per-CI-gate routing rows per C-71-5 every-gate-its-own-row default); closure UAT at P6 per D-IH-71-CLOSURE 2026-05-14 with bands A-D PASS + v3.1.0 tag attached).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
