initiative_id,repo_slug,folder_path,title,status,cycle_id,owner_role,inception_date,last_review,closed_at,archived_at,superseded_by,continuous_rationale,cadence,gated_on,operator_action,inception_decision_id,closure_decision_id,manifests_processes,linked_topic_ids,notes
INIT-OPENCLAW_AKOS-25,openclaw-akos,docs/wip/planning/25-hlk-topic-graph-and-km-scalability/,Initiative 25 — Topic Graph + Graph Projection + KM Scalability,closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-25-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-26,openclaw-akos,docs/wip/planning/26-hlk-ops-hardening/,Initiative 26 — Operations hardening (small ops items + persistent triggers),closed,,PMO,,2026-04-29,2026-04-29,,,,,,,,D-IH-26-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-28,openclaw-akos,docs/wip/planning/28-investor-style-company-dossier/,Initiative 28 — Investor-Style Holistika Company Dossier,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-28-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-29,openclaw-akos,docs/wip/planning/29-multi-phase-consolidation/,Initiative 29 — Multi-phase consolidation — governance bridges + deck/strategy SSOT,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-29-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-30,openclaw-akos,docs/wip/planning/30-deck-moat-surgery/,Initiative 30 — Deck Moat Surgery — governance-grade deck intelligence,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-30-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-31,openclaw-akos,docs/wip/planning/31-holistik-ops-discovery/,Initiative 31 — Holistik Ops Discovery: 6-axis operating system for human interactions,closed,,PMO,,2026-05-05,2026-05-05,,,,,,,,D-IH-31-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-32,openclaw-akos,docs/wip/planning/32-holistik-ops-maturation/,Initiative 32 — Holistik Ops Maturation (enterprise-ready doctrine -> SSOT -> MCP),closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-32-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-45,openclaw-akos,docs/wip/planning/45-live-eval-harness/,Initiative 45 — Live Eval Harness Modernisation,closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-45-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-46,openclaw-akos,docs/wip/planning/46-neo4j-strategic-posture/,Initiative 46 — Neo4j Strategic Posture: doctrine + GraphRAG PoC + agent memory ADR,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-46-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-47,openclaw-akos,docs/wip/planning/47-user-centric-uat/,Initiative 47 — User-centric UAT modernisation,closed,,PMO,,2026-05-02,2026-05-02,,,,,,,,D-IH-47-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-48,openclaw-akos,docs/wip/planning/48-operator-dossier/,Initiative 48 — Operator-facing UAT Dossier,closed,,PMO,,2026-05-02,2026-05-02,,,,,,,,D-IH-48-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-49,openclaw-akos,docs/wip/planning/49-madeira-management-rollup/,Initiative 49 — MADEIRA management and verdict rollup,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-49-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-50,openclaw-akos,docs/wip/planning/50-live-cycle-closure/,Initiative 50 — Live cycle closure + cost SSOT truth-up,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-50-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-51,openclaw-akos,docs/wip/planning/51-persona-calibration-cleanup/,Initiative 51 — Persona calibration cleanup,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-51-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-52,openclaw-akos,docs/wip/planning/52-multi-model-judge-and-cost-discipline/,Initiative 52 — Multi-model judge roster + live calibration burn + endpoint cost truth-up,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-52-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-53,openclaw-akos,docs/wip/planning/53-graphrag-poc-closure/,Initiative 53 — GraphRAG PoC closure,closed,,PMO,,2026-05-03,2026-05-03,,,,,,,,D-IH-53-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-54,openclaw-akos,docs/wip/planning/54-surface-test-hardening/,Initiative 54 — Surface test hardening,closed,,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-54-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-55,openclaw-akos,docs/wip/planning/55-brand-ops-continuous-loop/,Initiative 55 — Brand Ops Continuous Loop (Adviser updates -> regression gates),continuous,,PMO,,2026-05-03,,,,Per D-IH-55-F: tooling ships but the initiative intentionally has no fixed end date — runs as a regression-to-advisor loop.,,,,,,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-56,openclaw-akos,docs/wip/planning/56-first-response-cycle/,Initiative 56 — First-response cycle (Adviser engagement operationalisation),gated_external,,PMO,,2026-05-03,,,,,,All execution phases after P0 are blocked until the first external adviser reply arrives and is captured.,,,,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-57,openclaw-akos,docs/wip/planning/57-cycle-closeout-live-validation/,Initiative 57 — Cycle closeout + live validation forward,closed,CYC-57,PMO,,2026-05-04,2026-05-04,,,,,,,,D-IH-57-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-58,openclaw-akos,docs/wip/planning/58-cycle-2-multi-track-forward/,Initiative 58 — Cycle 2 multi-track forward,closed,CYC-58,PMO,,2026-05-06,2026-05-06,,,,,,,,D-IH-58-CLOSURE,,,seeded by I59 P3 audit pass
INIT-OPENCLAW_AKOS-59,openclaw-akos,docs/wip/planning/59-hlk-governance-clean-slate/,Initiative 59 — HLK governance promotion + clean slate cycle,closed,CYC-59,PMO,,2026-05-06,2026-05-06,,,,,,,,D-IH-59-N,,,P0-P10 all landed 2026-05-06; 5 new HLK dimensions + 2 SOPs + status taxonomy + operator inbox + freshness canary + OPS-58-3 fix + telemetry routine + process harmonisation proposal
