type,orientation,entity,area,role_parent_1,role_owner,item_parent_2,item_parent_2_id,item_parent_1,item_parent_1_id,item_name,item_id,item_granularity,time_hours_par,description,instructions,addundum_extras,confidence,count_name,frequency,quality
Internal,Employee,HLK Tech Lab,Tech,CTO,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA Platform,env_tech_prj_3,MADEIRA engineering and UX program,hlk_prog_madeira_engineering_ux,workstream,,Groups MADEIRA UX capability and DevOps/CI/CD delivery workstreams.,,Pattern 3 program layer; see trello-list-to-workstream-matrix.md,2,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,HLK Infrastructure and DevOPS,env_tech_prj_4,project,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,CDO,,,,,HLK Data Governance,thi_data_prj_1,project,,,,,3,1,high,3
Internal,Employee,Holistika,Research,Holistik Researcher,HUMINT Specialist,Holistika Research and Methodology,hol_resea_prj_1,Holistika Research and Methodology,hol_resea_prj_1,HUMINT Techniques,hol_resea_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,Research,Holistik Researcher,Intelligence Analyst,Holistika Research and Methodology,hol_resea_prj_1,Holistika Research and Methodology,hol_resea_prj_1,Intelligence Matrix Operations,hol_resea_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,Research,Holistik Researcher,Holistik Researcher,Holistika Research and Methodology,hol_resea_prj_1,Holistika Research and Methodology,hol_resea_prj_1,Holistika Methodology Pillars,hol_resea_ws_3,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,Research,Holistik Researcher,Holistik Researcher,Holistika Research and Methodology,hol_resea_prj_1,Holistika Research and Methodology,hol_resea_prj_1,Deep Research,hol_resea_ws_4,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,Research,Holistik Researcher,Lead Researcher,Holistika Research and Methodology,hol_resea_prj_1,Holistika Research and Methodology,hol_resea_prj_1,Research Techniques,hol_resea_ws_5,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,People,People,CPO,Holistika People and Organisational Development,hol_peopl_prj_1,Holistika People and Organisational Development,hol_peopl_prj_1,Compliance Methodology,hol_peopl_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,People,People,CPO,Holistika People and Organisational Development,hol_peopl_prj_1,Holistika People and Organisational Development,hol_peopl_prj_1,Talent Development,hol_peopl_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,People,People,CPO,Holistika People and Organisational Development,hol_peopl_prj_1,Holistika People and Organisational Development,hol_peopl_prj_1,Holistika Project Lifecycle,hol_peopl_ws_3,workstream,,,,,3,1,high,3
Internal,Employee,Holistika,People,People,CPO,Holistika Project Lifecycle,hol_peopl_ws_3,Holistika Project Lifecycle,hol_peopl_ws_3,Item Phases,hol_peopl_ws_ip1,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,CMO,Brand Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Channels,thi_mkt_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,CMO,Growth Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Channels,thi_mkt_ws_1,Online,thi_mkt_ws_o1,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,CMO,Brand Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Customer Experience,thi_mkt_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Operations,PMO,COO,Think Big Operational Excellence,thi_opera_prj_1,Think Big Operational Excellence,thi_opera_prj_1,Engage,thi_opera_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Operations,PMO,COO,Think Big Operational Excellence,thi_opera_prj_1,Think Big Operational Excellence,thi_opera_prj_1,Project Estimation,thi_opera_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Operations,PMO,COO,Think Big Operational Excellence,thi_opera_prj_1,Think Big Operational Excellence,thi_opera_prj_1,Stakeholder and Communications,thi_opera_ws_3,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Finance,CFO,Business Controller,Think Big Finance Architecture,thi_finan_prj_1,Think Big Finance Architecture,thi_finan_prj_1,Financial Forecast,thi_finan_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Finance,CFO,Business Controller,Think Big Finance Architecture,thi_finan_prj_1,Think Big Finance Architecture,thi_finan_prj_1,Revenue Operations,thi_finan_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Counsel,Think Big Legal Compliance,thi_legal_prj_1,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,Tech Lead,KiRBe Platform,env_tech_prj_2,KiRBe Platform,env_tech_prj_2,KiRBe Security and Governance,env_tech_ws_k1,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,Cybersecurity Operations,env_tech_ws_s1,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,System Owner,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,API lifecycle and portfolio,env_tech_ws_api_1,workstream,,Cross-repo HTTP/API portfolio governance under env_tech_prj_4.,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,DevOPS,HLK Infrastructure and DevOPS,env_tech_prj_4,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,process,,Canonical first-party API lifecycle; vault SOP-HLK_API_LIFECYCLE_MANAGEMENT_001.,Follow SOP-HLK_API_LIFECYCLE_MANAGEMENT_001; portfolio SSOT COMPONENT_SERVICE_MATRIX.csv.,,SOP,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,DevOPS,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,Tracked repository API surface registration,env_tech_dtp_307,task,,Register API surfaces per tracked repo; link COMPONENT_SERVICE_MATRIX and REPOSITORIES_REGISTRY.,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,DevOPS,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,Machine-readable API specification SSOT,env_tech_dtp_308,process,,OpenAPI/AsyncAPI or equivalent per repository SSOT.,,,2,1,high,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,Internal API catalog and consumer registry,env_tech_dtp_309,process,,Align with Postman catalog process env_tech_dtp_293 and API lifecycle SOP.,,,2,1,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,API versioning deprecation and breaking-change control,env_tech_dtp_311,process,,,,,2,1,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,API lifecycle and portfolio,env_tech_ws_api_1,HLK API lifecycle and portfolio governance,env_tech_dtp_306,Third-party API evidence and attribution,env_tech_dtp_312,process,,Vendor facts cite source_taxonomy; see API lifecycle SOP.,,,2,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,System Owner,HLK Infrastructure and DevOPS,env_tech_prj_4,IT Catalog,env_tech_dtp_156,Component and service matrix maintenance,env_tech_dtp_313,process,,CTO chain SSOT COMPONENT_SERVICE_MATRIX.csv maintenance.,Follow SOP-HLK_COMPONENT_SERVICE_MATRIX_MAINTENANCE_001.,,SOP,3,1,high,3
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,Data Steward,HLK Data Governance,thi_data_prj_1,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Data,Data Architect,Data Governance Lead,HLK Data Governance,thi_data_prj_1,HLK Data Governance,thi_data_prj_1,MasterData/Architecture,thi_data_ws_2,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Front-End Developer,,,HLK Infrastructure and DevOPS,env_tech_prj_4,Next.js Web App,thi_tech_dtp_1,workstream,,,,,2,1,low,2
Internal,Employee,Think Big,MKT,Brand Manager,Copywriter,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,Storytelling web,thi_mkt_dtp_2,process,,,,,3,1,high,3
External,Employee,Think Big,MKT,Brand Manager,AV,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,"Media Edition (Final Cut, Premiere, etc)",thi_mkt_dtp_3,task,,,,,1,1,high,2
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Next.js Web App,thi_tech_dtp_1,High-Level Web design,env_mkt_dtp_7,Layout,thi_mkt_dtp_4,task,,,,,3,2,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Domain Specialist,Next.js Web App,thi_tech_dtp_1,Next.js Web App,thi_tech_dtp_1,Domain management,env_tech_dtp_5,workstream,,,,,2,1,medium,2
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,workstream,,,,,3,1,low,3
Internal,Employee,Envoy Tech,MKT,Brand Manager,Design,Next.js Web App,thi_tech_dtp_1,Next.js Web App,thi_tech_dtp_1,High-Level Web design,env_mkt_dtp_7,process,,"high-level web design, that it's not about the specific visual details (like colors, fonts, or exact layouts). Instead, high-level web design focuses on the strategic elements that make a website effective and achieve its goals.",Understanding the Goals and Objectives Defining the Target Audience Information Architecture (UX) Strategy Key Features and Functionality Brand Identity Performance and Scalability Measurement and Iteration,,2,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,Tech Lead,Front-End Developer,Next.js Web App,thi_tech_dtp_1,Layout,thi_mkt_dtp_4,Components UI Development,env_tech_dtp_8,process,,,,,2,1,medium,3
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Next.js Web App,thi_tech_dtp_1,Layout,thi_mkt_dtp_4,Components UX design,thi_mkt_dtp_9,process,,"UX design is a discipline that focuses on the user and aims to provide them with the best possible experience when they interact with a service or system. To achieve this, UX designers strive to deeply understand the needs, desires, frustrations, and behaviors of users.",Analysis of information according to different characteristics Gathering information from an external point of view Component branding Application,,2,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,API calls - CRUD request,env_tech_dtp_10,workstream,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,Language - Internal Conventions,env_tech_dtp_11,workstream,,,,,3,1,high,2
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,Repo Management and Hosting,env_tech_dtp_14,Package Manager & SDK,env_tech_dtp_12,process,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,Repo Management and Hosting,env_tech_dtp_14,Codebase security,env_tech_dtp_13,process,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,Repo Management and Hosting,env_tech_dtp_14,workstream,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,Data Governance Lead,Database Owner,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Database Management,env_tech_dtp_15,process,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,Front-End Developer,Back-End Developer,Next.js Web App,thi_tech_dtp_1,Components UI Development,env_tech_dtp_8,UI logic,env_tech_dtp_16,process,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,System Owner,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,Server Config (tbd),env_tech_dtp_17,workstream,,,,,1,1,low,1
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,"Integration Management (facebook, google, sentry, pinecone..)",env_tech_dtp_18,process,,,,,3,1,medium,3
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Next.js Web App,thi_tech_dtp_1,High-Level Web design,env_mkt_dtp_7,Analytics,thi_mkt_dtp_19,process,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Channels,thi_mkt_ws_1,Buyer Funnel and Design,thi_mkt_dtp_20,process,,,,,3,1,low,2
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Consumer Specialist,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,Terms and Conditions,thi_legal_dtp_21,task,,,,,3,1,low,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Consumer Specialist,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,Privacy,thi_legal_dtp_22,task,,,,,3,1,low,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Consumer Specialist,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,Retention (Think Big Legal),thi_legal_dtp_23,task,,,,,3,2,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,Retention (HLK Tech Lab),env_tech_dtp_24,task,,,,,3,2,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,NDA (HLK Tech Lab),env_tech_dtp_25,task,,,,,3,3,low,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Collaborator Specialist,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,NDA (Think Big Legal template A),thi_legal_dtp_26,task,,,,,3,3,low,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Consumer Specialist,Think Big Legal Compliance,thi_legal_prj_1,Legal Compliance Documentation,thi_legal_ws_1,NDA (Think Big Legal template B),thi_legal_dtp_27,task,,,,,3,3,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Domain Specialist,Next.js Web App,thi_tech_dtp_1,Domain management,env_tech_dtp_5,DNS,env_tech_dtp_28,task,,,,,2,1,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Domain Specialist,Next.js Web App,thi_tech_dtp_1,Domain management,env_tech_dtp_5,Nameserver,env_tech_dtp_29,task,,,,,2,1,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Domain Specialist,Next.js Web App,thi_tech_dtp_1,Analytics,thi_mkt_dtp_19,Web Traffic Analytics,env_tech_dtp_30,task,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,Data Steward,HLK Data Governance,thi_data_prj_1,MasterData/Architecture,thi_data_ws_2,"Query, KPI & Reporting Catalog",thi_data_dtp_31,task,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,Data Steward,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Enterprise MasterData (Relationship Management),thi_data_dtp_32,process,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,Data Steward,HLK Data Governance,thi_data_prj_1,MasterData/Architecture,thi_data_ws_2,Datamarts & Enterprise Applications,thi_data_dtp_33,task,,,,,2,1,medium,2
Internal,Employee,HLK Tech Lab,Data,Data Architect,Data Engineer,HLK Data Governance,thi_data_prj_1,MasterData/Architecture,thi_data_ws_2,RPA,thi_data_dtp_34,process,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Audiences (HLK Data Governance),env_tech_dtp_35,task,,,,,3,2,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Events (HLK Data Governance),env_tech_dtp_36,task,,,,,3,2,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Campaign Management (HLK Data Governance),env_tech_dtp_37,task,,,,,3,2,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Facebook Business Manager (HLK Data Governance),env_tech_dtp_38,process,,,,,3,2,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,Audiences,thi_mkt_dtp_39,task,,,,,3,2,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,Layout (marketing pod),thi_mkt_dtp_40,task,,,,,3,2,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,Events,thi_mkt_dtp_41,task,,,,,3,2,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,Campaign Management,thi_mkt_dtp_42,process,,,,,3,2,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,Facebook Business Manager,thi_mkt_dtp_43,workstream,,,,,3,2,high,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Domain Specialist,Next.js Web App,thi_tech_dtp_1,Domain management,env_tech_dtp_5,Sub-domain design,env_tech_dtp_44,task,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Linkedin (HLK Data Governance),env_tech_dtp_45,process,,,,,3,2,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Instagram (HLK Data Governance),env_tech_dtp_46,process,,,,,3,2,low,3
Internal,Employee,Envoy Tech,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,SEO OnPage,env_mkt_dtp_47,process,,,,,3,1,low,3
Internal,Employee,Envoy Tech,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,SEO OffPage,env_mkt_dtp_48,process,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,SEM,env_tech_dtp_49,task,,,,,3,1,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,Linkedin,thi_mkt_dtp_50,process,,,,,3,2,high,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Online,thi_mkt_ws_o1,Instagram,thi_mkt_dtp_51,process,,,,,3,2,high,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Front-End Developer,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,SEO as part of the Codebase,thi_tech_dtp_52,process,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,User management,env_tech_dtp_53,process,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,SQL Architecture,env_tech_dtp_55,SQL Architecture,env_tech_dtp_55,Edge Function Architecture,env_tech_dtp_54,workstream,,,,,2,1,high,2
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,,,HLK Data Governance,thi_data_prj_1,SQL Architecture,env_tech_dtp_55,workstream,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,Next.js Web App,thi_tech_dtp_1,Next.js Web App,thi_tech_dtp_1,E-commerce Plugins,env_tech_dtp_56,task,,,,,3,1,medium,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Customer Experience,thi_mkt_ws_2,Mailchimp,thi_mkt_dtp_57,task,,,,,3,1,low,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Customer Experience,thi_mkt_ws_2,Calendly,thi_mkt_dtp_58,task,,,,,3,1,low,3
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Customer Experience,thi_mkt_ws_2,Newsletter,thi_mkt_dtp_59,task,,,,,3,1,medium,3
Internal,Employee,Think Big,MKT,Brand Manager,Design,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,Animations,thi_mkt_dtp_60,task,,,,,1,1,low,2
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,A-Z Test (research process),thi_mkt_dtp_61,task,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,Brand Manager,UX Designer,Next.js Web App,thi_tech_dtp_1,High-Level Web design,env_mkt_dtp_7,Landing page design,thi_mkt_dtp_62,task,,,,,3,1,medium,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Facebook API,env_tech_dtp_63,task,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,Data Management,thi_data_ws_1,Google API,env_tech_dtp_64,task,,,,,3,1,low,3
Internal,Employee,Think Big,MKT,Brand Manager,Copywriter,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,Voice (Brand Persona),thi_mkt_dtp_65,process,,,,,3,1,medium,3
Internal,Employee,Think Big,MKT,Brand Manager,Copywriter,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,Message (Brand Persona),thi_mkt_dtp_66,process,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,Growth Manager,Social Media Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Facebook Business Manager,thi_mkt_dtp_43,Editorial Calendar,thi_mkt_dtp_67,task,,,,,3,1,low,3
Internal,Employee,HLK Tech Lab,Tech,DevOPS,Back-End Developer,HLK Data Governance,thi_data_prj_1,HLK Data Governance,thi_data_prj_1,Masterdata Design (HLK Data Governance),env_tech_dtp_68,workstream,,,,,3,2,low,3
Internal,Employee,Think Big,MKT,Brand Manager,Brand Manager,Think Big Channel and Marketing Operations,thi_mkt_prj_1,Branding web,thi_mkt_dtp_6,Masterdata Design,thi_mkt_dtp_69,workstream,,,,,3,2,low,3
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,HLK Infrastructure and DevOPS,env_tech_prj_4,Testing & CI/CD,env_tech_dtp_70,process,,,,,2,1,high,3
Internal,Employee,Holistika,Operations,PMO,PMO,Think Big Operational Excellence,thi_opera_prj_1,Engage,thi_opera_ws_1,Delivery Management,hol_ops_dtp_71,process,,,,,3,1,medium,2
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,Data Engineer,HLK Data Governance,thi_data_prj_1,HLK Data Governance,thi_data_prj_1,Make,thi_data_dtp_72,workstream,,,,,3,1,,
Internal,Employee,Holistika,Operations,PMO,Process Owner,Holistika Process Governance Framework,hol_ops_pgf_1,Think Big Operational Excellence,thi_opera_prj_1,Flow Design,tbd_tbd_dtp_73,process,,,,,3,1,,
Internal,Employee,Holistika,Operations,PMO,Process Owner,Holistika Process Governance Framework,hol_ops_pgf_1,Flow Design,tbd_tbd_dtp_73,Flow Parameter Input,tbd_tbd_dtp_74,task,,,,,3,1,,
Internal,Employee,HLK Tech Lab,Tech,System Owner,Tech Lead,HLK Infrastructure and DevOPS,env_tech_prj_4,Repo Management and Hosting,env_tech_dtp_14,Merging branches,env_tech_dtp_75,process,,,,,2,1,,
Internal,Employee,HLK Tech Lab,Data,Data Architect,Data Engineer,HLK Data Governance,thi_data_prj_1,MasterData/Architecture,thi_data_ws_2,Create Relational Functions in SQL,thi_data_dtp_76,task,,,,,3,1,,
