module_id,component_id,module_name,module_family,governed_status,governance_depth,dimension_registry_path,doc_url,volatility_class,next_verify_by,gap,owner_role,priority,notes
COMP-MOD-098,comp_i93_hlk_erp,HLK-ERP — Holistika ERP shell,vercel,partial,D2,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/dimensions/VERCEL_PROJECT_SETTINGS_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,medium,2026-09-14,,System Owner,critical,D2 Wave-2 family=vercel
COMP-MOD-099,comp_i93_langfuse,Langfuse — AIC observability,langfuse,partial,D2,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/dimensions/LANGFUSE_PROJECT_POSTURE_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,medium,2026-09-14,,AI Engineer,high,D2 Wave-2 family=langfuse
COMP-MOD-100,comp_i93_neo4j,Neo4j — graph read index,other,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md,low,,,Data Architect,low,D0 inventory-only; matrix row sufficient
COMP-MOD-101,comp_i93_metabase,Metabase — steward SQL BI,other,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,low,,,Data Steward,low,D0 inventory-only; matrix row sufficient
COMP-MOD-102,comp_i93_power_bi,Microsoft Power BI — client BI,other,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,low,,,Data Governance Office,low,D0 inventory-only; matrix row sufficient
COMP-MOD-103,comp_i93_holistika_edge,Supabase Edge Functions — Holistika ingress,supabase,partial,D2,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_INTEGRATION_PLANE.md,medium,2026-09-14,Critical component without Wave-1/2 registry — schedule Wave-3,System Owner,critical,D2 scheduled — critical slo_tier
COMP-MOD-104,comp_i93_openclaw_akos,OpenClaw AKOS — control plane monorepo,openclaw_akos,governed,D3,,docs/ARCHITECTURE.md,medium,2026-09-14,,System Owner,critical,D3 ecosystem family=openclaw_akos; I100 Wave-1
COMP-MOD-105,comp_i93_semantic_layer,METRICS_REGISTRY — semantic layer,openclaw_akos,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/SEMANTIC_LAYER.md,low,,,Data Architect,low,D0 inventory-only; matrix row sufficient
COMP-MOD-106,comp_i93_hlk_graph_mcp,HLK Graph MCP — agent graph BI,openclaw_akos,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,low,,,AI Engineer,low,D0 inventory-only; matrix row sufficient
COMP-MOD-107,comp_i93_sentry,Sentry — reliability BI,sentry,partial,D2,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/dimensions/SENTRY_PROJECT_POSTURE_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,medium,2026-09-14,,System Owner,high,D2 Wave-2 family=sentry
COMP-MOD-108,comp_i93_analytics_buckets,Supabase Analytics Buckets — OLAP offload,supabase,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_PRODUCTION_READINESS_001.md,low,,,Marketing Analytics Manager,low,D0 inventory-only; matrix row sufficient
COMP-MOD-109,comp_i93_google_analytics,Google Analytics 4 / Looker Studio,other,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,low,,,Marketing Analytics Manager,low,D0 inventory-only; matrix row sufficient
COMP-MOD-110,comp_i93_meta_business,Meta Business Manager / Ads,other,inventory,D0,,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,low,,,Marketing Analytics Manager,low,D0 inventory-only; matrix row sufficient
